VFID,RAgas,DECgas,COreference,alphaCO,Mmol,Mmol_err_up,Mmol_err_down,r21,err_r21,tdep,tdep_err_up,tdep_err_down,HIreference,MHI,MHI_err_up,MHI_err_down,MH2_to_MHI,MH2_to_MHI_err_up,MH2_to_MHI_err_down,H2def,errH2def,HIdef,errHIdef,Separation,MH2,MH2_err_up,MH2_err_down,Mgas
VFID0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0076,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0077,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0079,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0080,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0081,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0082,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0083,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0085,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0086,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0087,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0090,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0093,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0094,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0095,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0099,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0101,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0103,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0107,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0108,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0110,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0111,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0114,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0116,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0118,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0120,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0121,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0122,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0129,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0130,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0131,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0132,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0160,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0161,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0167,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0169,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VFID0171,,,,,,,,,,,,,,,,,,,,,,,,,,,,
