Galaxy,Dist,log(D25),e_log(D25),CO_trans,fap,log(LCO),E_log(LCO),e_log(LCO),log(MH2),(E_log(MH2),e_log(MH2)
NGC5846,25.13,1.63,0.03,2-->1,0.03,7.53,0.11,0.15,,,
NGC5854,22,1.48,0.04,1-->0,0.34,7.21,,,7.46,,
NGC5854,22,1.48,0.04,2-->1,0.19,6.73,,,,,
NGC5864,25.93,1.4,0.06,1-->0,0.4,7.34,,,7.73,,
NGC5864,25.93,1.4,0.06,2-->1,0.22,7,,,,,
NGC5869,27.72,1.34,0.03,1-->0,0.32,7.52,,,7.96,,
NGC5869,27.72,1.34,0.03,2-->1,0.13,7.23,,,,,
PGC054452,28.82,0.98,0.05,1-->0,0.58,7.24,,,7.69,,
PGC054452,28.82,0.98,0.05,2-->1,0.31,6.96,,,,,
NGC5982,36.12,1.49,0.06,1-->0,0.34,7.03,,,7.67,,
NGC5982,36.12,1.49,0.06,2-->1,0.18,7,,,,,
