VFID,objname,ra,dec,cutout_size,E_B_V_SandF,mean_E_B_V_SandF,stdev_E_B_V_SandF,max_E_B_V_SandF,min_E_B_V_SandF,AV_SandF,E_B_V_SFD,mean_E_B_V_SFD,stdev_E_B_V_SFD,max_E_B_V_SFD,min_E_B_V_SFD,AV_SFD,errmsg,A(FUV)_SandF,A(NUV)_SandF,A(G)_SandF,A(R)_SandF,A(Z)_SandF,A(W1)_SandF,A(W2)_SandF,A(W3)_SandF,A(W4)_SandF,A(FUV)_SFD,A(NUV)_SFD,A(G)_SFD,A(R)_SFD,A(Z)_SFD,A(W1)_SFD,A(W2)_SFD,A(W3)_SFD,A(W4)_SFD,A(FUV)_S16,A(NUV)_S16,A(G)_S16,A(R)_S16,A(Z)_S16,A(W1)_S16,A(W2)_S16,A(W3)_S16,A(W4)_S16
VFID5962,,193.31036,4.46333,2.0,0.0346,0.0343,0.001,0.0362,0.0322,0.1074,0.0403,0.0399,0.0011,0.0421,0.0374,0.1249,,0.285104,0.2837199999999999,0.1112044,0.074909,0.0419006,0.0063663999999999,0.0039098,0.00083386,0.00031486,0.332072,0.33046,0.1295242,0.0872495,0.0488033,0.0074152,0.0045539,0.00097123,0.00036673,0.2,0.2,0.1295242,0.0872495,0.0488033,0.0074152,0.0045539,0.00097123,0.00036673
VFID5964,,218.3513,4.4505,2.0,0.0314,0.0314,0.0005,0.0324,0.0303,0.0974,0.0365,0.0365,0.0006,0.0377,0.0352,0.1133,,0.2587359999999999,0.2574799999999999,0.1009195999999999,0.067981,0.0380254,0.0057775999999999,0.0035481999999999,0.0007567399999999,0.00028574,0.3007599999999999,0.2992999999999999,0.1173109999999999,0.0790225,0.0442015,0.006716,0.0041245,0.0008796499999999,0.0003321499999999,0.2,0.2,0.1173109999999999,0.0790225,0.0442015,0.006716,0.0041245,0.0008796499999999,0.0003321499999999
VFID5988,,193.95399,4.30418,2.0,0.0316,0.0317,0.0004,0.0327,0.031,0.0981,0.0368,0.0368,0.0004,0.038,0.0361,0.114,,0.260384,0.25912,0.1015624,0.068414,0.0382676,0.0058144,0.0035708,0.00076156,0.00028756,0.303232,0.30176,0.1182752,0.079672,0.0445648,0.0067712,0.0041584,0.0008868799999999,0.00033488,0.2,0.2,0.1182752,0.079672,0.0445648,0.0067712,0.0041584,0.0008868799999999,0.00033488
VFID5992,,187.6116,4.24649,2.0,0.0208,0.0208,0.0003,0.0218,0.0204,0.0646,0.0242,0.0242,0.0004,0.0254,0.0237,0.0751,,0.171392,0.17056,0.0668512,0.0450319999999999,0.0251888,0.0038272,0.0023504,0.00050128,0.00018928,0.199408,0.1984399999999999,0.0777788,0.052393,0.0293062,0.0044528,0.0027346,0.00058322,0.00022022,0.2,0.2,0.0777788,0.052393,0.0293062,0.0044528,0.0027346,0.00058322,0.00022022
VFID5995,,185.07251,4.20196,2.0,0.0193,0.018,0.0006,0.0193,0.0168,0.0597,0.0224,0.021,0.0007,0.0224,0.0195,0.0695,,0.159032,0.1582599999999999,0.0620302,0.0417845,0.0233723,0.0035512,0.0021809,0.00046513,0.00017563,0.184576,0.1836799999999999,0.0719936,0.048496,0.0271264,0.0041216,0.0025312,0.00053984,0.00020384,0.2,0.2,0.0719936,0.048496,0.0271264,0.0041216,0.0025312,0.00053984,0.00020384
VFID6023,,186.65028,3.96479,2.0,0.0154,0.0154,0.0004,0.0162,0.0147,0.0476,0.0179,0.0179,0.0004,0.0188,0.0171,0.0554,,0.126896,0.12628,0.0494956,0.033341,0.0186494,0.0028336,0.0017402,0.00037114,0.00014014,0.147496,0.14678,0.0575305999999999,0.0387534999999999,0.0216769,0.0032936,0.0020227,0.00043139,0.00016289,0.2,0.2,0.0575305999999999,0.0387534999999999,0.0216769,0.0032936,0.0020227,0.00043139,0.00016289
VFID6028,,207.06686,3.95088,2.0,0.0198,0.0197,0.0001,0.0199,0.0194,0.0612,0.023,0.0229,0.0002,0.0232,0.0226,0.0712,,0.163152,0.16236,0.0636372,0.042867,0.0239778,0.0036432,0.0022374,0.00047718,0.00018018,0.18952,0.1886,0.073922,0.049795,0.027853,0.004232,0.002599,0.0005543,0.0002093,0.2,0.2,0.073922,0.049795,0.027853,0.004232,0.002599,0.0005543,0.0002093
VFID6048,,217.50768,3.7729,2.0,0.0284,0.0278,0.001,0.0293,0.0257,0.0879,0.033,0.0324,0.0011,0.0341,0.0299,0.1022,,0.234016,0.23288,0.0912776,0.061486,0.0343924,0.0052256,0.0032092,0.00068444,0.00025844,0.27192,0.2706,0.106062,0.071445,0.039963,0.006072,0.003729,0.0007953,0.0003003,0.2,0.2,0.106062,0.071445,0.039963,0.006072,0.003729,0.0007953,0.0003003
VFID6056,,185.25947,3.72208,2.0,0.0168,0.0168,0.0003,0.0172,0.0159,0.0522,0.0196,0.0195,0.0003,0.02,0.0185,0.0607,,0.138432,0.1377599999999999,0.0539951999999999,0.036372,0.0203448,0.0030911999999999,0.0018984,0.00040488,0.0001528799999999,0.161504,0.1607199999999999,0.0629943999999999,0.042434,0.0237356,0.0036063999999999,0.0022148,0.0004723599999999,0.00017836,0.2,0.2,0.0629943999999999,0.042434,0.0237356,0.0036063999999999,0.0022148,0.0004723599999999,0.00017836
VFID6060,,184.28797,3.6829,2.0,0.0154,0.0154,0.0003,0.0162,0.0147,0.0477,0.0179,0.0179,0.0004,0.0188,0.0171,0.0554,,0.126896,0.12628,0.0494956,0.033341,0.0186494,0.0028336,0.0017402,0.00037114,0.00014014,0.147496,0.14678,0.0575305999999999,0.0387534999999999,0.0216769,0.0032936,0.0020227,0.00043139,0.00016289,0.2,0.2,0.0575305999999999,0.0387534999999999,0.0216769,0.0032936,0.0020227,0.00043139,0.00016289
VFID6091,,215.30457,3.43584,2.0,0.0356,0.0327,0.0017,0.0356,0.0295,0.1104,0.0414,0.0381,0.0019,0.0414,0.0343,0.1284,,0.293344,0.2919199999999999,0.1144184,0.077074,0.0431116,0.0065504,0.0040228,0.00085796,0.00032396,0.341136,0.3394799999999999,0.1330596,0.089631,0.0501354,0.0076175999999999,0.0046782,0.00099774,0.00037674,0.2,0.2,0.1330596,0.089631,0.0501354,0.0076175999999999,0.0046782,0.00099774,0.00037674
VFID6093,,186.49361,3.42967,2.0,0.0199,0.0171,0.002,0.0203,0.0134,0.0616,0.0231,0.0199,0.0023,0.0237,0.0155,0.0717,,0.163976,0.16318,0.0639586,0.0430835,0.0240989,0.0036616,0.0022487,0.00047959,0.00018109,0.1903439999999999,0.1894199999999999,0.0742434,0.0500115,0.0279741,0.0042504,0.0026103,0.00055671,0.00021021,0.2,0.2,0.0742434,0.0500115,0.0279741,0.0042504,0.0026103,0.00055671,0.00021021
VFID6098,,219.57548,3.41031,2.0,0.0319,0.0318,0.0006,0.0333,0.0308,0.0988,0.0371,0.037,0.0007,0.0387,0.0358,0.1149,,0.262856,0.26158,0.1025266,0.0690635,0.0386309,0.0058695999999999,0.0036046999999999,0.00076879,0.00029029,0.305704,0.30422,0.1192394,0.0803215,0.0449281,0.0068264,0.0041923,0.00089411,0.00033761,0.2,0.2,0.1192394,0.0803215,0.0449281,0.0068264,0.0041923,0.00089411,0.00033761
VFID6179,,193.81472,2.89662,2.0,0.0293,0.0292,0.0004,0.0304,0.0284,0.0907,0.034,0.034,0.0005,0.0353,0.033,0.1055,,0.241432,0.2402599999999999,0.0941702,0.0634345,0.0354823,0.0053912,0.0033109,0.00070613,0.00026663,0.28016,0.2788,0.109276,0.07361,0.041174,0.006256,0.003842,0.0008194,0.0003094,0.2,0.2,0.109276,0.07361,0.041174,0.006256,0.003842,0.0008194,0.0003094
