VFID,RAdeg,DEdeg,HV,Vcosmic,Vmodel,HyperLeda,NED,PGC,NSAV0,NSAV1,AGC,CO,A100,redshift
0,185.868772,74.95225,1419,1810,1810,NGC4363,NGC 4363,40233.0,,,,False,False,0.006
1,182.208,74.90428,1332,1082,1723,NGC4133,NGC 4133,38578.0,,,,False,False,0.0036
2,145.944663,74.85958,3049,3069,3381,NGC2977,NGC 2977,27845.0,,,,False,False,0.0102
3,185.573083,74.83839,1833,2212,2212,PGC040048,CGCG 352-030,40048.0,,,,False,False,0.0074
4,182.82775,74.80822,1683,2066,2066,UGC07189,UGC 07189,38805.0,,,,False,False,0.0069
5,173.134184,74.62754,1920,2203,2291,NGC3752,NGC 3752,35608.0,,,,False,False,0.0073
6,121.912404,74.58463,2333,2786,2669,UGC04202,UGC 04202,22815.0,,,,False,False,0.0093
7,118.2363,74.57653,2346,2680,2680,PGC022064,KUG 0746+747,22064.0,,,,False,False,0.0089
8,274.943166,74.56839,1484,1517,1875,NGC6643,NGC 6643,61742.0,,,,False,False,0.0051
9,183.47745,74.5014,1702,2075,2084,UGC07238,UGC 07238,39036.0,,,,False,False,0.0069
10,190.435041,74.42086,1453,2800,1845,NGC4648,NGC 4648,42595.0,,,,False,False,0.0093
11,154.41619,74.34739,2944,3672,3280,NGC3155,NGC 3155,30064.0,,,,False,False,0.0122
12,110.33325,74.3238,966,1325,1325,PGC2761545,WISEA J072119.85+741922.5,2761545.0,,,,False,False,0.0044
13,139.634051,74.3192,2966,3295,3295,UGC04883,UGC 04883,26284.0,,,,False,False,0.011
14,262.266917,74.25783,1928,2618,2311,UGC10892,UGC 10892,60369.0,,,,False,False,0.0087
15,188.939359,74.24259,2188,2558,2558,NGC4572,NGC 4572,41991.0,,,,False,False,0.0085
16,138.699625,74.23247,1127,1962,1498,UGC04841,Holmberg III,26071.0,,,,False,False,0.0065
17,157.678335,74.22752,2806,3147,3147,UGC05686,UGC 05686,30998.0,,,,False,False,0.0105
18,189.354291,74.19186,2002,2084,2377,NGC4589,NGC 4589,42139.0,,,,False,False,0.007
19,155.454019,74.17699,3092,2673,3426,NGC3183,NGC 3183,30323.0,,,,False,False,0.0089
20,132.019333,74.09878,2168,1990,2511,NGC2633,NGC 2633,24723.0,,,,False,False,0.0066
21,278.702208,74.06181,1679,2064,2064,PGC062075,CGCG 340-051,62075.0,,,,False,False,0.0069
22,132.099209,74.03822,2160,2504,2504,PGC213530,WISEA J084823.84+740217.5,213530.0,,,,False,False,0.0084
23,126.140166,74.01231,2269,2298,2607,NGC2550,NGC 2550,23604.0,,,,False,False,0.0077
24,132.105958,73.96711,2258,3119,2599,NGC2634,NGC 2634,24749.0,,,,False,False,0.0104
25,132.158927,73.93931,2087,2360,2432,NGC2634A,NGC 2634A,24760.0,,,,False,False,0.0079
26,141.418416,73.90012,3152,3478,3478,PGC026731,CGCG 332-048,26731.0,,,,False,False,0.0116
27,157.691225,73.88542,2826,3990,3165,UGC05689,UGC 05689,31011.0,,,,False,False,0.0133
28,127.462291,73.85639,2292,2630,2629,UGC04413,UGC 04413,23840.0,,,,False,False,0.0088
29,142.807999,73.81058,3113,2937,3440,UGC05052,UGC 05052,27027.0,,,,False,False,0.0098
30,158.596384,73.76501,1149,1901,1530,NGC3252,NGC 3252,31278.0,,,,False,False,0.0063
31,139.63647,73.7597,2258,2415,2603,IC0529,IC 0529,26295.0,,,,False,False,0.0081
32,129.978106,73.75401,3287,3261,3605,UGC04502,UGC 04502,24360.0,,,,False,False,0.0109
33,190.208627,73.71893,1863,3303,2243,UGC07844,UGC 07844,42475.0,,,,False,False,0.011
34,114.24411,73.71341,945,1691,1303,UGC03909,UGC 03909,21398.0,,,,False,False,0.0056
35,194.985076,73.69269,1665,2043,2052,UGC08120,UGC 08120,44672.0,,,,False,False,0.0068
36,163.478541,73.69036,1262,2002,1645,NGC3403,NGC 3403,32719.0,,,,False,False,0.0067
37,188.885375,73.67483,1148,2011,1543,UGC07767,UGC 07767,41947.0,,,,False,False,0.0067
38,132.101667,73.67128,1896,2246,2246,NGC2636,NGC 2636,24747.0,,,,False,False,0.0075
39,188.660179,73.66669,1187,1582,1582,UGC07745,UGC 07745,41809.0,,,,False,False,0.0053
40,279.634545,73.65674,1404,1795,1795,PGC062173,MCG +12-17-027,62173.0,,,,False,False,0.006
41,126.950625,73.65133,2140,2481,2481,UGC04389,UGC 04389,23732.0,,,,False,False,0.0083
42,127.2717,73.6291,2844,3170,3170,PGC023809,KUG 0823+737,23809.0,,,,False,False,0.0106
43,190.908644,73.61331,1667,1267,2053,UGC07908,UGC 07908,42818.0,,,,False,False,0.0042
44,279.748125,73.60997,1520,1908,1908,UGC11331,UGC 11331,62191.0,,,,False,False,0.0064
45,138.062417,73.59408,2281,2624,2624,PGC025939,CGCG 332-033,25939.0,,,,False,False,0.0088
46,279.854815,73.58013,1556,1981,1944,NGC6654A,NGC 6654A,62207.0,,,,False,False,0.0066
47,131.990334,73.53933,2381,1928,2718,IC2389,IC 2389,24711.0,,,,False,False,0.0064
48,126.96501,73.51706,2169,2506,2509,UGC04390,UGC 04390,23731.0,,,,False,False,0.0084
49,108.585708,73.48062,2796,2998,3115,PGC020460,UGC 03730,20460.0,,,,False,False,0.01
50,108.584667,73.47339,2707,2998,3028,PGC200231,UGC 03730 NED02,200231.0,,,,False,False,0.01
51,108.046542,73.47061,2685,3006,3006,UGC03705,UGC 03705,20383.0,,,,False,False,0.01
52,259.02197,73.43605,1253,1653,1653,UGC10803,UGC 10803,59971.0,147869.0,634197.0,,False,False,0.0055
53,268.569,73.42394,1337,1733,1733,NGC6538,NGC 6538,61072.0,,,,False,False,0.0058
54,126.209559,73.41199,2342,2552,2677,NGC2551,NGC 2551,23608.0,,,,False,False,0.0085
55,154.223655,73.40073,2814,3027,3152,NGC3147,NGC 3147,30019.0,,,,False,False,0.0101
56,144.33534,73.38466,2135,2484,2484,UGC05110,UGC 05110,27386.0,,,,False,False,0.0083
57,155.195925,73.28427,2742,3054,3081,UGC05570,UGC 05570,30239.0,,,,False,False,0.0102
58,133.31475,73.18883,2316,2735,2655,PGC024949,UGCA 146,24949.0,,,,False,False,0.0091
59,276.031333,73.18325,1832,2213,2214,NGC6654,NGC 6654,61833.0,,,,False,False,0.0074
60,193.720886,73.17834,1544,2182,1935,UGC08052,UGC 08052,43975.0,,,,False,False,0.0073
61,120.509523,73.04534,3165,3480,3480,UGC04137,UGC 04137,22534.0,,,,False,False,0.0116
62,113.878335,72.96833,2592,2915,2915,PGC3085816,GALEXASC J073530.99+725804.2,3085816.0,,,,False,False,0.0097
63,124.879122,72.9678,2240,2576,2576,PGC090836,FGC 0739,90836.0,,,,False,False,0.0086
64,113.096568,72.90869,3036,3350,3350,UGC03878,UGC 03878,21230.0,,,,False,False,0.0112
65,131.99,72.89572,3123,3443,3443,NGC2641,NGC 2641,24722.0,,,,False,False,0.0115
66,192.530041,72.87447,1623,1963,2011,NGC4750,NGC 4750,43426.0,,,,False,False,0.0065
67,161.791625,72.83967,2828,2554,3168,NGC3348,NGC 3348,32216.0,,,,False,False,0.0085
68,161.92425,72.82186,1008,1387,1387,PGC032213,MCG +12-10-079,32213.0,,,,False,False,0.0046
69,116.248849,72.81096,2480,2785,2806,UGC03975,UGC 03975,21698.0,,,,False,False,0.0093
70,122.746833,72.79444,3150,3466,3466,UGC04242,UGC 04242,22947.0,,,,False,False,0.0116
71,257.987931,72.58201,910,1311,1311,PGC2750394,CGCG 339-033,2750394.0,147798.0,634128.0,,False,False,0.0044
72,112.047799,72.57301,3050,3363,3363,UGC03838,UGC 03838,21065.0,,,,False,False,0.0112
73,166.69779,72.56854,2599,2917,2946,NGC3516,NGC 3516,33623.0,,,,False,False,0.0097
74,112.736253,72.51756,2616,2937,2937,UGC03864,UGC 03864,21189.0,,,,False,False,0.0098
75,146.696916,72.45058,2100,2450,2450,PGC028070,MRK 0120,28070.0,,,,False,False,0.0082
76,256.141438,72.44665,1072,2317,1474,UGC10713,UGC 10713,59551.0,147690.0,634027.0,,False,False,0.0077
77,162.124125,72.42506,2729,3071,3071,NGC3364,NGC 3364,32314.0,,,,False,False,0.0102
78,257.554614,72.4106,1170,3784,1572,IC1251,IC 1251,59735.0,147774.0,634104.0,,False,False,0.0126
79,257.889294,72.40198,1205,1606,1606,IC1254,IC 1254,59783.0,147791.0,634121.0,,False,False,0.0054
80,258.661136,72.39875,1328,2612,1727,UGC10791,UGC 10791,59908.0,147849.0,634177.0,,False,False,0.0087
81,257.603737,72.30439,1215,1648,1616,NGC6340,NGC 6340,59742.0,147778.0,634108.0,,False,False,0.0055
82,147.591953,72.27919,1323,1560,1695,NGC2985,NGC 2985,28316.0,,,,False,False,0.0052
83,191.837982,72.21386,1630,2018,2018,PGC091229,FGC 1501,91229.0,,,,False,False,0.0067
84,148.918917,72.20363,1058,1349,1431,NGC3027,NGC 3027,28636.0,,,,False,False,0.0045
85,151.31555,72.20047,1639,2005,2005,UGC05415,UGC 05415,29264.0,,,,False,False,0.0067
86,150.480417,72.17028,1995,2213,2350,NGC3065,NGC 3065,29046.0,,,,False,False,0.0074
87,107.927875,72.16919,2915,3228,3228,UGC03701,UGC 03701,20362.0,,,,False,False,0.0108
88,150.545417,72.12525,2105,2426,2457,NGC3066,NGC 3066,29059.0,,,,False,False,0.0081
89,264.203459,72.08894,2487,2961,2856,NGC6434,NGC 6434,60573.0,,,,False,False,0.0099
90,147.958333,72.08333,1181,1554,1554,PGC028411,GALEXASC J095150.73+720459.3,28411.0,,,,False,False,0.0052
91,118.248792,72.04128,2487,2812,2812,UGC04050,UGC 04050,22067.0,,,,False,False,0.0094
92,107.843973,71.83639,3140,2328,3448,UGC03697,UGC 03697,20348.0,,,,False,False,0.0078
93,190.253123,71.81154,1652,2039,2039,PGC042517,CGCG 335-020,42517.0,,,,False,False,0.0068
94,163.017459,71.77303,1249,1631,1631,UGC05955,UGC 05955,32610.0,,,,False,False,0.0054
95,108.136291,71.75053,3059,3369,3369,UGC03714,UGC 03714,20398.0,,,,False,False,0.0112
96,224.440254,71.68237,447,788,784,NGC5832,NGC 5832,53469.0,,,,False,False,0.0026
97,108.280209,71.67033,3088,3397,3397,PGC020412,KUG 0707+717,20412.0,,,,False,False,0.0113
98,192.80007,71.63675,1745,2203,2130,NGC4749,NGC 4749,43527.0,,,,False,False,0.0073
99,110.644291,71.59897,2873,3154,3187,UGC03804,UGC 03804,20844.0,,,,False,False,0.0105
100,173.641458,71.54008,2806,3151,3151,UGC06552,UGC 06552,35767.0,139785.0,626896.0,,False,False,0.0105
101,163.929708,71.48833,1281,1663,1663,PGC032818,CGCG 333-063,32818.0,,,,False,False,0.0055
102,191.401667,71.31872,1200,1510,1596,PGC043010,UGCA 296,43010.0,,,,False,False,0.005
103,228.077088,71.2655,1534,1932,1932,PGC091421,FGC 1866,91421.0,,,,False,False,0.0064
104,156.93825,71.237,1126,1503,1503,UGC05658,UGC 05658,30778.0,,,,False,False,0.005
105,106.847916,71.1925,3260,2930,3564,UGC03657,UGC 03657,20184.0,,,,False,False,0.0098
106,198.155625,71.19135,3142,3491,3491,UGC08305,UGC 08305,45879.0,,,,False,False,0.0116
107,191.788029,71.17621,1672,2138,2059,NGC4693,NGC 4693,43141.0,,,,False,False,0.0071
108,115.0014,71.1352,2458,2780,2780,UGC03940,UGC 03940,21520.0,,,,False,False,0.0093
109,261.630336,71.0963,1163,1574,1564,NGC6395,NGC 6395,60291.0,167376.0,687972.0,,False,False,0.0053
110,106.409334,71.07039,3246,3550,3550,UGC03644,UGC 03644,20133.0,,,,False,False,0.0118
111,273.752866,71.00546,1512,1963,1902,UGC11193,UGC 11193,61641.0,,,,False,False,0.0065
112,105.672874,70.97061,3275,3578,3578,UGC03626,UGC 03626,20048.0,,,,False,False,0.0119
113,156.027417,70.88221,1011,1435,1384,UGC05612,UGC 05612,30484.0,,,,False,False,0.0048
114,114.549633,70.85214,2487,3899,2807,UGC03921,UGC 03921,21451.0,,,,False,False,0.013
115,184.35976,70.80245,2039,2410,2410,NGC4250,NGC 4250,39414.0,,,,False,False,0.008
116,191.030132,70.78977,1800,2182,2182,PGC042888,WISEA J124406.87+704717.1,42888.0,,,,False,False,0.0073
117,251.144869,70.78036,1280,1807,1681,NGC6236,NGC 6236,58891.0,,,,False,False,0.006
118,140.276667,70.69831,838,1193,1193,PGC026462,VII Zw 274,26462.0,,,,False,False,0.004
119,170.429083,70.64764,2571,2919,2919,UGC06371,UGC 06371,34834.0,,,,False,False,0.0097
120,152.20977,70.6336,1290,1702,1663,UGC05455,UGC 05455,29506.0,136639.0,623933.0,,False,False,0.0057
121,173.513709,70.59367,2608,2957,2957,PGC2737130,WISEA J113403.24+703537.7,2737130.0,,,,False,False,0.0099
122,173.988792,70.53563,2696,2864,3043,NGC3735,NGC 3735,35869.0,,,,False,False,0.0096
123,201.057084,70.53167,3084,5662,3434,UGC08434,UGC 08434,46846.0,,,,False,False,0.0189
124,278.709463,70.52387,489,1002,871,NGC6689,NGC 6689,62077.0,,,,False,False,0.0033
125,109.473333,70.51906,2953,3261,3261,UGC03771,UGC 03771,20604.0,,,,False,False,0.0109
126,182.59215,70.5154,2124,2540,2492,UGC07164,UGC 07164,38724.0,,,,False,False,0.0085
127,200.72556,70.51446,3136,3485,3485,NGC5144,NGC 5144,46742.0,,,,False,False,0.0116
128,254.08095,70.4468,1326,1726,1726,UGC10636,UGC 10636,59278.0,,,,False,False,0.0058
129,182.5251,70.4036,2105,2473,2473,UGC07160,UGC 07160,38600.0,,,,False,False,0.0082
130,173.291125,70.39011,2595,2944,2944,UGC06532,UGC 06532,35661.0,,,,False,False,0.0098
131,182.627583,70.36937,2101,2588,2470,UGC07168,UGC 07168,38730.0,,,,False,False,0.0086
132,151.378467,70.36444,353,635,624,UGC05423,UGC 05423,29284.0,,,,False,False,0.0021
133,251.59164,70.35877,1132,1759,1535,NGC6237,NGC 6237,58864.0,,,,False,False,0.0059
134,186.103683,70.33422,466,830,768,UGC07490,UGC 07490,40367.0,,,,False,False,0.0028
135,255.10935,70.2909,442,808,805,UGC10669,UGC 10669,59410.0,,,,False,False,0.0027
136,275.722343,70.22535,1506,1895,1895,PGC061798,KAZ 201,61798.0,,,,False,False,0.0063
137,157.602792,70.05159,1920,2306,2280,UGC05688,UGC 05688,30983.0,,,,False,False,0.0077
138,239.987876,69.99608,989,1392,1392,PGC056622,KAZ 055,56622.0,,,,False,False,0.0046
139,126.37185,69.8997,2225,2555,2555,UGC04378,UGC 04378,23635.0,,,,False,False,0.0085
140,253.238235,69.8822,1279,1680,1680,UGC10609,UGC 10609,59185.0,,,,False,False,0.0056
141,176.123958,69.72978,2703,2930,3051,UGC06711,UGC 06711,36542.0,160480.0,663061.0,,False,False,0.0098
142,160.36,69.70611,2972,4139,3304,UGC05809,UGC 05809,31838.0,,,,False,False,0.0138
143,170.529897,69.63367,1307,1597,1692,UGC06378,UGC 06378,34869.0,,,,False,False,0.0053
144,103.878625,69.56297,1206,1574,1549,UGC03580,UGC 03580,19867.0,,,,False,False,0.0053
145,182.129217,69.54489,2246,2182,2609,NGC4120,NGC 4120,38553.0,140825.0,627828.0,,False,False,0.0073
146,272.037708,69.50233,1618,2005,2005,PGC061437,KAZ 186,61437.0,,,,False,False,0.0067
147,135.951666,69.48717,2200,2536,2536,UGC04739,UGC 04739,25448.0,,,,False,False,0.0085
148,257.019447,69.46432,491,918,862,UGC10736,UGC 10736,59668.0,,,,False,False,0.0031
149,171.044667,69.41308,1573,2123,1952,NGC3654,NGC 3654,35025.0,,,,False,False,0.0071
150,146.315781,69.39025,571,887,887,PGC027949,SDSS J094515.30+692325.9,27949.0,157419.0,623400.0,,False,False,0.003
151,176.705834,69.38364,1431,2037,1817,NGC3879,NGC 3879,36743.0,,,,False,False,0.0068
152,124.1604,69.347,1054,1406,1406,PGC2807126,WISEA J081637.54+692052.6,2807126.0,,,,False,False,0.0047
153,180.373458,69.32392,2368,3183,2727,NGC4034,NGC 4034,37935.0,140621.0,627644.0,,False,False,0.0106
154,149.794716,69.25798,1218,1588,1588,PGC028848,KUG 0955+694,28848.0,83658.0,404349.0,,False,False,0.0053
155,139.826811,69.20331,697,979,1033,NGC2787,NGC 2787,26341.0,,,,False,False,0.0033
156,154.970502,69.18858,557,869,869,[CKT2009]D1019+69,WISEA J101952.44+691119.7,5056940.0,,,,False,False,0.0029
157,176.91858,69.10409,1460,1846,1846,UGC06764,UGC 06764,36787.0,,,,False,False,0.0062
158,203.274417,68.86033,1500,1815,1897,PGC047710,UGCA 362,47710.0,,,,False,False,0.0061
159,159.370443,68.8195,1824,2930,2187,UGC05765,UGC 05765,31560.0,,,,False,False,0.0098
160,182.134791,68.76761,2337,2583,2696,NGC4128,NGC 4128,38555.0,140827.0,627830.0,,False,False,0.0086
161,146.554182,68.71533,1187,1554,1554,[CKT2009]D0946+68,PGC1 5056945 GROUP,5056945.0,,,,False,False,0.0052
162,182.516236,68.69484,2451,2807,2807,SDSSJ121003.98+684141.9,SDSS J121003.87+684140.9,4017876.0,,61982.0,,False,False,0.0094
163,141.298751,68.38319,631,656,954,UGC04998,UGC 04998,26705.0,,,,False,False,0.0022
164,109.517833,68.34269,2660,2968,2968,PGC020611,CGCG 309-028,20611.0,,,,False,False,0.0099
165,244.154705,68.20257,1119,1523,1523,IC1218,IC 1218,57699.0,,,,False,False,0.0051
166,275.485,68.12878,2640,3002,3002,UGC11222,UGC 11222,61776.0,,,,False,False,0.01
167,194.066651,68.11289,1879,2260,2260,PGC2712133,WISEA J125616.06+680646.0,2712133.0,13083.0,62732.0,,False,False,0.0075
168,207.069518,68.08496,1781,2799,2169,UGC08737,UGC 08737,48953.0,,,,False,False,0.0093
169,163.171249,67.98889,1116,1545,1493,UGC05979,UGC 05979,32649.0,,,,False,False,0.0052
170,277.665874,67.98703,2585,3213,2947,NGC6667,NGC 6667,61972.0,,,,False,False,0.0107
171,108.974114,67.98383,1154,2193,1495,UGC03749,UGC 03749,20526.0,,,,False,False,0.0073
172,176.162642,67.95585,2706,3052,3052,UGC06714,UGC 06714,36555.0,12979.0,61602.0,,False,False,0.0102
173,182.962833,67.92864,2545,2898,2898,UGC07195,UGC 07195,38849.0,140894.0,,,False,False,0.0097
174,205.273875,67.67214,3134,3004,3483,NGC5283,NGC 5283,48425.0,,,,False,False,0.01
175,202.078837,67.63164,992,1386,1386,UGC08509,UGC 08509,47455.0,13105.0,63085.0,,False,False,0.0046
176,266.061792,67.61944,1462,1855,1855,UGC10974,NGC 6470,60778.0,148197.0,634522.0,,False,False,0.0062
177,181.618654,67.49072,2325,2684,2684,PGC3140980,SHOC 362,3140980.0,13024.0,61989.0,,False,False,0.009
178,186.070971,67.44,1315,1205,1709,PGC040349,UGCA 280,40349.0,161666.0,667561.0,,False,False,0.004
179,256.301417,67.41997,1109,1511,1511,PGC059579,KAZ 118,59579.0,,,,False,False,0.005
180,141.652627,67.41129,1831,2177,2177,SDSSJ092636.62+672440.8,SDSS J092636.63+672440.6,5064889.0,,404004.0,,False,False,0.0073
181,181.94847,67.38378,2326,2648,2685,PGC038504,UGCA 272,38504.0,161092.0,665650.0,,False,False,0.0088
182,266.623341,67.33817,1463,1901,1855,UGC10991,UGC 10991,60832.0,,,,False,False,0.0063
183,245.460233,67.29308,1001,2917,1403,UGC10369,UGC 10369,57926.0,,,,False,False,0.0097
184,235.4496,67.2538,428,837,760,UGC09992,UGC 09992,55809.0,,,,False,False,0.0028
185,181.456979,67.25206,2267,2627,2627,NGC4108A,NGC 4108A,38343.0,13006.0,61822.0,,False,False,0.0088
186,180.345534,67.2454,2269,2629,2629,PGC2697093,WISEA J120123.00+671442.7,2697093.0,13014.0,61867.0,,False,False,0.0088
187,170.051565,67.24163,1302,1688,1685,NGC3622,NGC 3622,34692.0,159631.0,659260.0,,False,False,0.0056
188,181.798183,67.23523,2671,3020,3020,NGC4108B,NGC 4108B,38461.0,13008.0,61826.0,,False,False,0.0101
189,181.684764,67.16285,2557,2909,2909,NGC4108,NGC 4108,38423.0,161063.0,665548.0,,False,False,0.0097
190,184.487625,67.09666,1205,1597,1597,SDSSJ121756.97+670547.7,WISEA J121756.97+670547.0,4002232.0,12993.0,61751.0,,False,False,0.0053
191,181.324802,66.95982,2552,2904,2904,PGC2693220,2MASX J12051783+6657358,2693220.0,13013.0,61842.0,,False,False,0.0097
192,157.21905,66.8062,1133,1504,1504,UGC05671,UGC 05671,30853.0,,,,False,False,0.005
193,181.444602,66.74456,1424,1813,1813,PGC038360,MCG +11-15-020,38360.0,13010.0,61829.0,,False,False,0.006
194,171.921642,66.58981,1523,1506,1902,NGC3682,NGC 3682,35266.0,139446.0,626572.0,,False,False,0.005
195,191.684187,66.46583,1446,1841,1841,PGC2687514,WISEA J124644.13+662757.3,2687514.0,13080.0,62669.0,,False,False,0.0061
196,188.006316,66.33261,2286,3172,2649,NGC4513,NGC 4513,41527.0,13040.0,62120.0,,False,False,0.0106
197,181.661135,66.30959,1174,1563,1563,SDSSJ120638.66+661834.3,SDSS J120638.66+661834.3,4567536.0,13011.0,61831.0,,False,False,0.0052
198,204.010846,66.30252,3073,3422,3422,UGC08604,UGC 08604,47988.0,163755.0,676365.0,,False,False,0.0114
199,142.872693,66.27464,871,1217,1217,,WISEA J093129.64+661631.4,,83521.0,403938.0,,False,False,0.0041
200,183.999493,66.23084,1315,1707,1707,NGC4221,NGC 4221,39266.0,19303.0,91692.0,,False,False,0.0057
201,141.465528,66.16902,1691,2040,2040,SDSSJ092551.72+661008.5,WISEA J092551.83+661008.3,5065035.0,83493.0,403754.0,,False,False,0.0068
202,183.892347,66.13288,2742,3089,3089,SDSSJ121534.18+660758.2,WISEA J121534.11+660758.6,4002156.0,19304.0,91695.0,,False,False,0.0103
203,141.506151,66.12989,1246,1604,1604,,WISEA J092601.47+660747.5,,83494.0,403757.0,,False,False,0.0054
204,189.009552,66.10498,2260,2625,2625,PGC2683704,SDSS J123602.29+660617.8,2683704.0,19365.0,92048.0,,False,False,0.0088
205,162.243035,66.09463,3284,3605,3605,UGC05907,UGC 05907,32337.0,12800.0,60808.0,,False,False,0.012
206,162.646568,66.04512,1138,1513,1513,SDSSJ105035.27+660242.6,WISEA J105035.27+660242.5,4074864.0,12794.0,60793.0,,False,False,0.005
207,185.860897,65.98537,2498,2853,2853,PGC2682517,WISEA J122326.57+655906.9,2682517.0,19348.0,91943.0,,False,False,0.0095
208,183.816015,65.98536,2711,3059,3059,NGC4210,NGC 4210,39184.0,161308.0,666432.0,,False,False,0.0102
209,184.416734,65.97879,2283,2644,2644,PGC2682454,WISEA J121740.05+655843.8,2682454.0,19301.0,91689.0,,False,False,0.0088
210,185.23816,65.94789,2580,2932,2932,SDSSJ122057.16+655652.5,SDSS J122057.15+655652.4,4002323.0,19310.0,91733.0,,False,False,0.0098
211,177.419605,65.92903,1469,1854,1854,SDSSJ114940.70+655544.6,WISEA J114940.84+655544.8,5065024.0,19226.0,91296.0,,False,False,0.0062
212,184.67946,65.89829,2529,2930,2883,NGC4256,NGC 4256,39568.0,141112.0,628088.0,,False,False,0.0098
213,184.66995,65.867,2775,3121,3121,PGC213973,2MASX J12184077+6552010,213973.0,19307.0,91717.0,,False,False,0.0104
214,185.694847,65.84379,2765,3112,3112,NGC4332,NGC 4332,40133.0,19308.0,91728.0,,False,False,0.0104
215,162.522966,65.83764,3246,3567,3567,PGC3097669,WISEA J105005.52+655015.5,3097669.0,12790.0,60788.0,,False,False,0.0119
216,184.207431,65.82991,2627,2977,2977,PGC039359,CGCG 315-030,39359.0,19305.0,91698.0,,False,False,0.0099
217,162.76251,65.78156,3232,5000,3553,NGC3392,NGC 3392,32512.0,12791.0,60789.0,,False,False,0.0167
218,171.361428,65.76863,1119,1499,1499,PGC3140053,SHOC 323,3140053.0,12856.0,60989.0,,False,False,0.005
219,185.553022,65.71593,2530,2884,2884,PGC2679996,WISEA J122212.75+654257.4,2679996.0,19311.0,91735.0,,False,False,0.0096
220,137.9743,65.71097,2738,3053,3053,SDSSJ091153.82+654239.4,WISEA J091153.88+654239.3,4192471.0,83483.0,403675.0,,False,False,0.0102
221,163.32659,65.70263,3278,3599,3599,UGC05992,UGC 05992,32674.0,12783.0,60771.0,,False,False,0.012
222,162.835896,65.68187,3225,3547,3547,SDSSJ105120.69+654054.5,SDSS J105120.68+654054.4,5056913.0,12792.0,60791.0,,False,False,0.0118
223,198.230405,65.63537,1585,1978,1978,PGC2679292,WISEA J131255.42+653807.8,2679292.0,143127.0,629972.0,,False,False,0.0066
224,171.823566,65.60113,1234,1618,1618,PGC3139974,WISEA J112717.63+653604.3,3139974.0,19136.0,91005.0,,False,False,0.0054
225,182.398719,65.5951,1121,1510,1510,SDSSJ120935.64+653541.4,SDSS J120935.64+653541.4,4102842.0,19289.0,91632.0,,False,False,0.005
226,185.868226,65.55672,2779,3126,3126,SDSSJ122328.31+653324.0,SDSS J122328.31+653324.0,4002384.0,19312.0,91737.0,,False,False,0.0104
227,162.403989,65.53127,339,526,568,UGC05918,UGC 05918,32405.0,,,,False,False,0.0018
228,160.244091,65.5152,3246,3565,3565,PGC3139929,SDSS J104058.57+653054.6,3139929.0,12757.0,60660.0,,False,False,0.0119
229,108.8631,65.4417,2479,2782,2782,UGC03748,UGC 03748,20509.0,134452.0,621952.0,,False,False,0.0093
230,245.711685,65.4377,3246,3600,3600,UGC10376,UGC 10376,57949.0,,,,False,False,0.012
231,164.017866,65.41526,1712,2078,2078,SDSSJ105604.27+652454.9,SDSS J105604.26+652454.8,4017640.0,12780.0,60765.0,,False,False,0.0069
232,181.858133,65.41255,1427,1816,1816,UGC07110,UGC 07110,38482.0,,,,False,False,0.0061
233,245.241185,65.39017,907,1390,1306,NGC6140,NGC 6140,57886.0,,,,False,False,0.0046
234,206.466477,65.38602,1703,2094,2094,PGC095619,SDSS J134551.95+652309.5,95619.0,13112.0,63139.0,,False,False,0.007
235,139.399895,65.37646,1675,2021,2021,SDSSJ091735.97+652235.3,SDSS J091735.89+652234.7,5064891.0,83465.0,403571.0,,False,False,0.0067
236,155.456103,65.37028,3170,3487,3487,SDSSJ102149.48+652212.5,SDSS J102149.40+652213.0,3345027.0,12685.0,60457.0,,False,False,0.0116
237,168.059349,65.22546,1066,1441,1441,UGC06237,UGC 06237,34078.0,138935.0,626099.0,,False,False,0.0048
238,155.73348,65.20084,3267,3582,3582,PGC2675385,WISEA J102256.07+651202.9,2675385.0,12741.0,60602.0,,False,False,0.0119
239,183.101454,65.1742,1280,1671,1671,SDSSJ121224.37+651027.0,SDSS J121224.31+651026.8,4011416.0,19299.0,91666.0,,False,False,0.0056
240,182.024872,65.17418,1389,1671,1779,NGC4125,NGC 4125,38524.0,140814.0,627819.0,,False,False,0.0056
241,155.180571,65.1721,3289,3900,3603,UGC05576,UGC 05576,30247.0,12684.0,60455.0,,False,False,0.013
242,183.098678,65.12157,1330,1722,1722,SDSSJ121223.65+650717.8,WISEA J121223.63+650718.6,4017884.0,140911.0,627907.0,,False,False,0.0057
243,181.986005,65.11399,1416,1901,1805,NGC4121,NGC 4121,38508.0,19290.0,91638.0,,False,False,0.0063
244,158.145234,65.04109,1678,2349,2041,NGC3259,NGC 3259,31145.0,158462.0,653411.0,,False,False,0.0078
245,186.328163,64.93352,1320,1723,1714,NGC4391,NGC 4391,40500.0,19349.0,91952.0,,False,False,0.0057
246,227.659227,64.89862,2244,4539,2620,UGC09764,UGC 09764,54150.0,,,,False,False,0.0151
247,158.087174,64.86819,1729,2089,2089,PGC2672385,WISEA J103220.91+645205.4,2672385.0,12721.0,60545.0,,False,False,0.007
