VFID,RAdeg,DEdeg,HV,Vcosmic,Vmodel,HyperLeda,NED,PGC,NSAV0,NSAV1,AGC,CO,A100,redshift
1220,165.701241,52.11531,949,1271,1271,UGC06113,UGC 06113,33346.0,138629.0,625816.0,,False,False,0.0042
1221,178.0295,52.10793,1032,1273,1388,UGC06840,UGC 06840,37164.0,140359.0,158862.0,,False,False,0.0042
1222,127.411456,52.07638,1752,2027,2046,PGC023834,UGCA 140,23834.0,156732.0,647565.0,,False,False,0.0068
1223,223.367824,52.0762,2364,2934,2724,NGC5783,NGC 5783,53217.0,145676.0,260970.0,,False,False,0.0098
1224,238.354885,52.07121,3118,3458,3458,PGC2406095,WISEA J155325.16+520416.3,2406095.0,20119.0,96464.0,,False,False,0.0115
1225,154.926562,52.06547,669,902,902,UGC05571,UGC 05571,30187.0,40926.0,196822.0,,False,False,0.003
1226,169.246755,52.03771,2262,2594,2594,SDSSJ111659.21+520215.4,WISEA J111659.23+520215.2,4000621.0,32429.0,158053.0,,False,False,0.0087
1227,128.516802,52.00209,2918,3180,3180,PGC024031,CGCG 263-051,24031.0,10108.0,49563.0,,False,False,0.0106
1228,177.806015,52.00086,902,1220,1220,NGC3931,NGC 3917A,37073.0,32680.0,158867.0,,False,False,0.0041
1229,209.407713,51.97417,619,871,871,PGC049674,MCG +09-23-021,49674.0,,613071.0,,False,False,0.0029
1230,143.438767,51.91947,603,826,826,PGC027164,MCG +09-16-029,27164.0,26920.0,132112.0,,False,False,0.0028
1231,210.316827,51.87302,2248,2610,2610,PGC049916,MRK 1488,49916.0,43037.0,208285.0,,False,False,0.0087
1232,143.149489,51.87253,573,787,787,UGC05076,UGC 05076,27091.0,,,,False,False,0.0026
1233,177.527577,51.85529,1252,1610,1634,UGC06802,UGC 06802,36973.0,140320.0,612593.0,,False,False,0.0054
1234,152.038305,51.84452,1094,1489,1423,UGC05460,UGC 05460,29469.0,136621.0,612394.0,,False,False,0.005
1235,177.689449,51.82446,965,1273,1303,NGC3917,NGC 3917,37036.0,140334.0,627385.0,,False,False,0.0042
1236,177.476921,51.73641,939,1268,1268,PGC2399182,SBS 1147+520,2399182.0,32682.0,158889.0,,False,False,0.0042
1237,141.070728,51.65866,659,899,899,SDSSJ092416.97+513931.0,SDSS J092416.95+513931.0,3381234.0,26870.0,131974.0,,False,False,0.003
1238,129.422871,51.6524,687,875,944,UGC04499,UGC 04499,24242.0,10084.0,598659.0,,False,False,0.0029
1239,172.597901,51.65184,1553,1925,1925,PGC2397675,WISEA J113023.45+513907.0,2397675.0,32491.0,158216.0,,False,False,0.0064
1240,168.11217,51.63678,2832,3139,3139,PGC034094,UGCA 229,34094.0,159444.0,658381.0,,False,False,0.0105
1241,191.736096,51.61337,493,647,644,UGC07950,UGC 07950,43124.0,,,,False,False,0.0022
1242,175.609542,51.598,977,1374,1316,UGC06667,UGC 06667,36343.0,32695.0,158978.0,,False,False,0.0046
1243,211.837557,51.59276,1738,2125,2125,SDSSJ140721.01+513533.7,WISEA J140721.10+513533.1,3416054.0,43027.0,208230.0,,False,False,0.0071
1244,216.646902,51.58529,1922,2300,2300,NGC5624,NGC 5624,51568.0,43109.0,208722.0,,False,False,0.0077
1245,219.378267,51.56188,2188,3183,2553,NGC5707,NGC 5707,52266.0,165316.0,682335.0,,False,False,0.0106
1246,142.206699,51.5605,504,1011,696,UGC05047,UGC 05047,26899.0,157274.0,648503.0,,False,False,0.0034
1247,216.35394,51.55408,1998,2372,2372,PGC099823,SBS 1423+517,99823.0,145034.0,631697.0,,False,False,0.0079
1248,209.081808,51.53742,1943,2319,2319,PGC2395690,SDSS J135619.62+513214.2,2395690.0,43041.0,208323.0,,False,False,0.0077
1249,169.893138,51.50337,1336,1709,1709,PGC034658,ARP'S GALAXY,34658.0,32436.0,158099.0,,False,False,0.0057
1250,169.443642,51.47661,2854,3126,3161,UGC06309,UGC 06309,34508.0,32433.0,158077.0,,False,False,0.0104
1251,219.190704,51.45987,2352,2711,2711,PGC052226,SBS 1435+516,52226.0,53422.0,260505.0,,False,False,0.009
1252,219.42224,51.45739,2069,2440,2440,SDSSJ143741.32+512726.4,WISEA J143741.25+512727.2,4012497.0,53405.0,260455.0,,False,False,0.0081
1253,219.969021,51.43456,2199,2564,2564,PGC2394027,2MASS J14395258+5126048,2394027.0,53402.0,260440.0,,False,False,0.0086
1254,204.749894,51.43413,1696,2202,2086,UGC08639,UGC 08639,48259.0,143727.0,630510.0,,False,False,0.0073
1255,169.384863,51.43158,2810,3118,3118,PGC034483,MRK 1445,34483.0,32432.0,158059.0,,False,False,0.0104
1256,133.222848,51.39656,607,841,841,PGC024936,MCG +09-15-039,24936.0,16068.0,78068.0,,False,False,0.0028
1257,183.848599,51.34985,462,744,589,UGC07267,UGC 07267,39191.0,,,,False,False,0.0025
1258,179.508942,51.34929,544,700,700,PGC2392619,CGCG 155-012,2392619.0,32664.0,158770.0,,False,False,0.0023
1259,162.782592,51.33699,808,1080,1080,SDSSJ105107.83+512013.3,WISEA J105107.69+512014.1,4017632.0,32292.0,157367.0,,False,False,0.0036
1260,219.690356,51.31791,2147,2514,2514,PGC052336,CGCG 273-018,52336.0,,,,False,False,0.0084
1261,133.38633,51.31376,677,1205,927,NGC2681,NGC 2681,24961.0,156939.0,647969.0,,False,False,0.004
1262,116.736976,51.29531,1211,688,1499,,MCG +09-13-052,,82623.0,,,False,False,0.0023
1263,137.890446,51.25441,2182,2548,2472,UGC04824,UGC 04824,25910.0,16101.0,78199.0,,False,False,0.0085
1264,211.133658,51.23475,1770,2155,2155,SDSSJ140432.07+511405.0,SDSS J140432.07+511404.9,3416068.0,43030.0,208241.0,,False,False,0.0072
1265,212.125243,51.21967,1999,2372,2372,UGC09050,UGC 09050,50472.0,43082.0,208609.0,,False,False,0.0079
1266,166.728,51.2033,2209,2393,2538,UGC06162,UGC 06162,33633.0,138762.0,612768.0,,False,False,0.008
1267,182.199121,51.19636,610,793,793,PGC2390043,SDSS J120847.78+511146.8,2390043.0,38631.0,185537.0,,False,False,0.0026
1268,163.784097,51.18867,1368,1729,1729,PGC2389897,WISEA J105508.11+511118.4,2389897.0,32309.0,157426.0,,False,False,0.0058
1269,219.746558,51.12068,2197,3273,2562,UGC09448,UGC 09448,52344.0,53401.0,260437.0,,False,False,0.0109
1270,132.918986,51.11869,772,1298,1040,UGC04628,UGC 04628,24887.0,16074.0,598685.0,,False,False,0.0043
1271,139.893513,51.10855,548,1442,754,UGC04932,UGC 04932,26351.0,,,,False,False,0.0048
1272,176.111975,51.05865,1285,1666,1666,PGC2387625,WISEA J114426.82+510330.8,2387625.0,32574.0,158430.0,,False,False,0.0056
1273,213.240769,51.02676,2835,3175,3175,SDSSJ141257.78+510136.3,WISEA J141257.79+510136.2,5075030.0,,613076.0,,False,False,0.0106
1274,140.511066,50.97662,635,1085,865,NGC2841,NGC 2841,26512.0,26877.0,131988.0,,False,False,0.0036
1275,179.85459,50.96168,970,1168,1309,NGC4026,NGC 4026,37760.0,140569.0,627596.0,,True,False,0.0039
1276,167.400702,50.9264,894,1196,1196,UGC06202,UGC 06202,33837.0,159365.0,658038.0,,False,False,0.004
1277,179.60664,50.91703,916,1273,1236,UGC06956,UGC 06956,37682.0,140528.0,627555.0,,False,False,0.0042
1278,121.952242,50.91304,2418,2682,2682,SDSSJ080748.53+505446.6,SDSS J080748.53+505446.6,4017034.0,76326.0,372340.0,,False,False,0.0089
1279,164.992392,50.90295,2894,3193,3193,UGC06074,UGC 06074,33136.0,32312.0,157445.0,,False,False,0.0107
1280,211.964526,50.90227,2137,2503,2503,SDSSJ140751.55+505407.8,SDSS J140751.52+505407.7,4111626.0,43022.0,208211.0,,False,False,0.0083
1281,170.846736,50.89271,793,1524,1057,UGC06399,UGC 06399,34971.0,32378.0,157802.0,,False,False,0.0051
1282,212.085867,50.87791,2395,2750,2750,PGC2384052,2MASXi J1408206+505240,2384052.0,43020.0,208205.0,,False,False,0.0092
1283,211.993134,50.86352,1759,2145,2145,SDSSJ140758.48+505148.8,WISEA J140758.34+505148.5,4016145.0,164570.0,679734.0,,False,False,0.0072
1284,210.041573,50.86161,2287,2646,2646,SDSSJ140009.99+505140.9,WISEA J140009.94+505139.9,4111125.0,144240.0,630963.0,,False,False,0.0088
1285,165.026922,50.84886,2841,3142,3142,PGC033130,MCG +09-18-067,33130.0,138531.0,625730.0,,False,False,0.0105
1286,179.217261,50.81702,886,1193,1193,UGC06922,UGC 06922,37550.0,38575.0,185205.0,,False,False,0.004
1287,181.456412,50.79148,827,1110,1110,SDSSJ120549.54+504729.0,SDSS J120549.54+504729.0,4011364.0,38615.0,185468.0,,False,False,0.0037
1288,157.786899,50.78579,934,1240,1240,PGC2381991,SDSS J103108.88+504708.7,2381991.0,40912.0,196675.0,,False,False,0.0041
1289,158.691315,50.76825,649,1388,859,UGC05740,UGC 05740,31307.0,137666.0,612728.0,,False,False,0.0046
1290,120.47157,50.73716,500,753,724,NGC2500,NGC 2500,22525.0,156426.0,647030.0,,False,False,0.0025
1291,211.589923,50.7251,1906,2152,2284,NGC5480,NGC 5480,50312.0,43026.0,679584.0,,False,False,0.0072
1292,211.67183,50.72329,1898,2040,2276,NGC5481,NGC 5481,50331.0,144521.0,631224.0,,False,False,0.0068
