VFID,DM,SGX,SGY,SGZ,nCI08,nCI08_err,distSGX_Virgo,distSGY_Virgo,distSGZ_Virgo,n5th_2D,n5th_2D_err,n5th,n5th_err,Vcosmic,Vmodel,Vmedian,poor_group_memb,rich_group_memb,pure_field,nearest_filament_dist_2D,nearest_filament_dist_3D,filament,filament_PA,orientation_wrt_filament,filament_member,mem_phase_space,cluster_member,mem_Mould00,sep_degree,redshift
VFID0018,32.24828712672389,14.866262586348164,13.71808273271359,5.009680992651222,0.6610452743539875,0.1951013438844471,17.129598121273496,3.8221019316733553,5.424983583285262,3.523799530416136,1.5758910578184633,2.7814593376286947,1.24390643111786,2083.9588786633026,2376.9769249649967,2083.9588786633026,True,False,False,4.671141013447521,5.0794241545084216,Bootes,113.42767598067095,29.33767598067097,False,False,False,False,61.808372692370085,0.007
VFID0087,33.19864112394231,28.55608375490776,15.010207698546337,-1.1700103756391758,0.1200152690295974,0.0354213866776531,30.819419289833085,5.114226897506102,-0.7547077850051362,1.0308138694042803,0.4609939768275124,0.3096786627003086,0.1384925081958237,3228.196367710473,3228.196367710473,0.0,True,False,False,16.503774961545012,16.559571323037122,LeoII_B,151.0938249425952,,False,False,False,False,75.08933415481256,0.0108
VFID0132,29.66641743618681,4.798311092014061,4.14676441325683,0.2346899042690941,0.0487216565114982,0.0143797422513294,7.0616466269393925,-5.749216387783405,0.6499924949031337,0.2535901791502898,0.1134089758012796,0.0421295480772327,0.0188409066724075,634.6221221007371,624.1210405400284,634.6221221007371,False,False,True,2.254626464749789,2.9968195656015184,Leo_Minor,142.4497537436326,3.2897500815232377,False,False,False,False,62.19281624606601,0.0021
VFID0187,31.790894708410743,11.38993836493736,12.3452666896811,1.6876755784515554,0.3005052381759754,0.0886913167479253,13.653273899862691,2.449285888640864,2.102978169085595,2.506344998647521,1.120871558408495,0.2923833549105942,0.1307578114139071,1688.1485552359527,1685.133253110365,1688.1485552359527,False,False,True,2.668892037838612,3.1134296814827325,Ursa_Major_Cloud,166.70173835896085,21.89826164103914,False,False,False,False,56.089445244848335,0.0056
VFID0240,31.76852023075263,10.3560910231479,12.823972494117946,2.73292856791948,0.7198387199707662,0.2124536807007726,12.619426558073233,2.9279916930777112,3.148231158553519,4.897275362170802,2.190128122869764,1.3284273979286687,0.5940907929883333,1670.8434707265926,1778.865438921126,1670.8434707265926,False,True,False,2.1163819670182864,2.396603163699117,Ursa_Major_Cloud,166.70173835896085,71.70173835896085,False,False,False,False,52.92864929355254,0.0056
VFID0488,31.89167108289513,10.128943120523566,14.362811686403916,1.953720962694216,1.3537008573331644,0.3995321753738144,12.392278655448898,4.466830885363681,2.369023553328255,3.8894954418466567,1.7394352412289409,1.85729211706681,0.830606285567177,1768.3406738464548,1571.6400783770882,1768.3406738464548,False,True,False,1.5077616135986185,1.5636408595684517,Ursa_Major_Cloud,166.70173835896085,28.298261641039147,True,False,False,False,48.77662921793931,0.0059
VFID0692,30.4407067694753,6.612382960011181,5.928276098940526,-1.81883248186032,0.1674088536258844,0.0494091608967081,8.875718494936512,-3.967704702099709,-1.40352989122628,0.7326554201680244,0.3276534647158746,0.2001796808773551,0.0895230748311961,906.5109900722988,1193.300503209406,906.5109900722988,True,False,False,1.1641632952331455,1.164656168918955,Leo_Minor,90.10356178467964,52.10356178467964,True,False,False,False,61.13950784931261,0.003
VFID0696,32.275453607877395,10.12655764047725,16.880135037507046,7.603016575361401,1.4581833012090029,0.4303691936588759,12.389893175402582,6.984154236466811,8.018319165995441,9.340162153388968,4.17704749916971,1.5223060307951344,0.6807959534831617,2110.1942791496745,2110.1942791496745,0.0,False,False,False,0.4485902537033086,0.4853535664544005,Bootes,123.65367597719953,13.026324022800496,True,False,False,False,48.8894697240611,0.007
VFID0711,33.341069217388515,19.5088057224888,28.37410101601164,1.587831588639336,0.6441431402491874,0.1901128367332776,21.77214125741413,18.4781202149714,2.0031341792733754,2.1278742918082707,0.9516143128115034,1.7666571413713714,0.7900730922083685,3447.033968992074,3447.033968992074,0.0,True,False,False,12.640000765818373,12.756805583141258,NGC5353_4,165.4733549957744,55.34664500422559,False,False,False,False,47.639448414038185,0.0115
VFID0712,33.256654504262826,18.765881099332525,27.29179957262299,1.5238757766117583,0.3970517436750285,0.1171861168788549,21.029216634257857,17.395818771582753,1.939178367245798,3.161596732266446,1.4139090421577951,0.5840549189525335,0.261197300274199,3315.6037379775253,3315.6037379775253,0.0,True,False,False,12.095668956169272,12.11259105835128,NGC5353_4,165.4733549957744,1.883354995774397,False,False,False,False,47.64060095159845,0.0111
VFID0757,32.693479463795484,14.179159262554885,21.237977911638666,1.5224059402998702,0.6050259626196398,0.1785677667954438,16.442494797480215,11.341997110598427,1.9377085309339093,2.252845884046383,1.0075033079116642,0.6717721684402164,0.3004256468049525,2558.159461439431,1592.4806586452623,2558.159461439431,False,True,False,6.336681308627266,7.99827987208865,Bootes,118.01719929622875,61.32280070377125,False,False,False,False,46.9431090645505,0.0085
VFID0948,31.724618715837348,8.58244322238615,13.91561885935893,0.897737035754079,4.888639032315172,1.4428361898551405,10.845778757311482,4.019638058318694,1.3130396263881186,6.203887955187276,2.774463038518184,4.134901561646587,1.8491841944223613,1637.4025518784083,1764.7492614438645,1637.4025518784083,False,False,False,0.4389607320208658,0.439053390652821,Ursa_Major_Cloud,166.70173835896085,48.271738358960846,True,False,False,False,44.86513724461832,0.0055
VFID0956,31.73833634763985,8.488507343197004,14.07227948049152,1.1974090871664638,4.603078005394609,1.358555517600625,10.751842878122336,4.176298679451284,1.6127116778005033,12.75046707122813,5.702182223227751,4.104106719287537,1.835412322248116,1647.77909688951,1552.6204918373885,1647.77909688951,False,True,False,0.1607994494054274,0.2182986365310721,Ursa_Major_Cloud,166.70173835896085,59.70173835896085,True,False,False,False,44.43110296975746,0.0055
VFID0960,31.29852023075264,7.756843333787788,10.961721705549682,-0.8674530837340315,0.6961169229392685,0.2054524136775385,10.02017886871312,1.0657409045094468,-0.4521504930999919,3.6880450395864406,1.649343882519237,0.8463322115198049,0.3784912713012028,1345.6613099414233,1274.3124778942738,1345.6613099414233,False,False,True,2.239244259565067,3.3247298250354165,Ursa_Major_Cloud,167.09612996300643,88.59387003699356,False,False,False,False,48.113861375340576,0.0045
VFID0976,30.45959646242074,3.914064779171232,6.773588840173736,4.734661982051545,0.0944023762746395,0.0278619803992496,6.177400314096564,-3.1223919608664987,5.149964572685585,0.8792127842642512,0.3931959104603446,0.1460119478599652,0.0652985281884074,914.4311508011916,1010.5214155890023,914.4311508011916,False,True,False,4.326316050400202,4.416889621738511,Canes_Venatici,106.52298722784168,19.96701277215832,False,False,False,False,52.77279094510168,0.0031
VFID1035,31.56854325652217,7.553611951555423,13.17390515895864,1.2653359366632746,6.779320324249111,2.0008531294270635,9.816947486480757,3.2779243579184065,1.680638527297314,22.78283285818338,10.188792598182772,8.181224549701591,3.6587548464645727,1523.8435145530184,1487.7100959415295,1523.8435145530184,False,True,False,0.1696266834578228,0.5497131951188917,Ursa_Major_Cloud,167.02097285343112,37.3690271465689,True,False,False,False,43.26153463519636,0.0051
VFID1037,32.98833634763985,12.353656888443764,23.94322659665833,11.5205506514859,0.0660566621823966,0.0194960074056972,14.616992423369096,14.047245795618103,11.93585324211994,0.296772537163043,0.1327207133903293,0.0749353261507483,0.0335120966378382,2930.2116402911474,1783.4314500131932,2930.2116402911474,False,True,False,2.988631133251578,4.187909159955239,Bootes,175.4857971720581,73.61420282794188,False,False,False,False,46.69415952046367,0.0098
VFID1040,32.03833634763984,9.56061195687601,16.293317242025807,1.025871234132856,0.4128287404270231,0.1218425502400688,11.82394749180134,6.397336440985573,1.4411738247668957,7.736281351665103,3.459770199077425,0.4856196149824328,0.217175694061599,1891.9035375205503,1809.8782770374205,1891.9035375205503,False,False,True,0.887748086367902,2.5072124903474515,Ursa_Major_Cloud,166.70173835896085,59.82826164103915,False,False,False,False,43.61080355413527,0.0063
VFID1046,32.18008470711095,8.483034756754728,16.521394476187414,7.932760743430603,0.6984389155730132,0.2061377281346702,10.74637029168006,6.625413675147179,8.348063334064642,5.567560278548123,2.489888650332253,0.981872100023589,0.4391065521726436,2019.5223374219413,2285.7221107703444,2019.5223374219413,False,True,False,2.1320868797951524,2.178175201706594,Bootes,122.82353234481796,47.42646765518205,False,False,False,False,46.59156224463798,0.0067
VFID1097,31.96833634763985,10.002251222249471,15.305499362505753,-1.1305461918277924,0.2857060004596674,0.0843234598416963,12.265586757174804,5.409518561465516,-0.7152436011937529,2.0077532616255827,0.8978945550083446,0.2892778863337255,0.1293690036459335,1831.888301563475,1736.2545727454872,1831.888301563475,True,False,False,2.7970925482089,3.1088723248275323,Ursa_Major_Cloud,166.70173835896085,78.14826164103914,False,False,False,False,45.99816693319266,0.0061
VFID1098,31.67833634763985,8.050340156869161,13.85106710776971,0.5099038061142527,2.2264480613563595,0.6571153682084069,10.313675691794494,3.9550863067294753,0.9252063967482922,7.3851985723021265,3.3027612070003904,2.007344152787386,0.8977115959738637,1602.872541896984,1666.568732061085,1602.872541896984,False,True,False,0.7301211821331004,0.7314315195128474,Ursa_Major_Cloud,166.91763004440352,12.18236995559647,True,False,False,False,43.239242173166126,0.0053
VFID1173,30.50600869300672,4.69809476034309,8.073587795532326,-0.1244013994698527,0.2349171548826746,0.0693336060285901,6.961430295268421,-1.8223930055079087,0.2909011911641868,4.185144208564504,1.8716533891979577,0.2903527392105687,0.1298496924656201,934.1862232848534,1529.708976957245,934.1862232848534,False,True,False,1.8343025473347616,2.573884835162575,Leo_Minor,130.37218889360557,12.372188893605568,False,False,False,False,43.08918218280626,0.0031
VFID1175,31.52357114106213,7.302515700612805,13.015485260656437,0.2417844808875076,1.2728423811252814,0.3756675506882762,9.565851235538137,3.1195044596162003,0.6570870715215471,3.3698742209920654,1.5070535667524814,1.4651192153990775,0.655221232154699,1492.608628754569,1369.4112847709723,1492.608628754569,False,True,False,0.897353178279107,1.053466330602756,Ursa_Major_Cloud,167.07923972434162,17.470760275658392,True,False,False,False,42.2954008282336,0.005
VFID1182,31.17833634763985,6.23488135560229,11.099782581326116,0.1632985007749992,1.970959316190047,0.5817102492806431,8.498216890527623,1.2038017802858825,0.5786010914090387,3.926872602801837,1.7561508157692878,1.977046673808965,0.8841621514653397,1273.206916693053,1337.1932802752224,1273.206916693053,False,True,False,1.2186104348019948,2.088165556173781,Ursa_Major_Cloud,166.88843927050223,24.501560729497783,False,False,False,False,42.30873885414427,0.0042
VFID1211,32.82833634763985,14.359381546783252,22.9865937316066,-2.527875628679985,0.0568357644755284,0.016774545496467,16.622717081708583,13.090612930566364,-2.1125730380459453,0.2403888087007437,0.1075051434570111,0.0664312474934875,0.0297089570451101,2722.068119981772,2683.6054026119973,2722.068119981772,False,False,True,5.703496848031234,6.114735750085558,Leo_Minor_B,135.11478448818724,20.29521551181276,False,False,False,False,44.86340172568428,0.0091
VFID1212,31.248520230752632,6.032077740843033,11.659389368461431,0.7766283789945093,3.521751161138892,1.039411990406078,8.295413275768365,1.7634085674211963,1.191930969628549,18.277262890915377,8.173840453344221,4.332647196180976,1.9376187306369057,1315.0303188749117,1412.0592480403784,1315.0303188749117,False,True,False,0.7023941295728743,1.3967418141648555,Ursa_Major_Cloud,166.92608505362676,26.73391494637324,True,False,False,False,40.62508762564035,0.0044
VFID1291,32.31852023075263,7.571856442451841,18.25465192778932,8.529039877329772,0.8852273506783841,0.2612665916557727,9.835191977377171,8.358671126749087,8.944342467963812,15.48872631250421,6.926768983929813,0.9098962787577904,0.4069179863553034,2152.4633521129304,2284.426867603408,2152.4633521129304,True,False,False,3.021707140938862,3.022734416953432,Bootes,134.44709852956808,42.57290147043193,False,False,False,False,42.98925877901713,0.0072
VFID1292,32.201834267015826,7.173379665936671,17.29265157357319,8.099770370749924,0.3670761553436604,0.1083391017135288,9.436715200862002,7.3966707725329535,8.515072961383964,2.9380803360144467,1.3139494709367454,0.3778756703068725,0.1689911371698931,2039.851598365811,2276.3716148471194,2039.851598365811,True,False,False,3.41032214309083,3.410891318603668,Bootes,126.20278230368602,12.95278230368602,False,False,False,False,43.01788956459255,0.0068
VFID1350,32.410894708410744,7.864075430126725,19.792913171380548,7.130961971677994,0.3465975835431206,0.1022950423515978,10.127410965052055,9.896932370340313,7.546264562312034,1.1242531941526608,0.5027813132093237,0.4454084021267387,0.1991926929809899,2246.0047035170032,2009.6078218613447,2246.0047035170032,False,False,True,3.156549075549669,3.50786084178057,Bootes,135.4218041053806,26.4181958946194,False,False,False,False,39.88152244143109,0.0075
VFID1374,31.53842829114268,6.119660826112389,13.680977227161554,1.1127613907050125,0.7418918593651894,0.2189624589942529,8.382996361037721,3.784996426121319,1.528063981339052,23.843971339904968,10.66334815391685,0.9689530106409432,0.4333289597592453,1502.8560291305728,1487.5440636829844,1502.8560291305728,False,True,False,0.1980841663479688,0.4201984562341118,Ursa_Major_Cloud,167.08591928811717,0.2559192881171555,True,False,False,False,37.53915430085527,0.005
VFID1609,29.178520230752632,1.80670218842904,4.724156264708686,0.3384232229378675,0.3826536879054424,0.1129366650803912,4.070037723354371,-5.171824536331549,0.7537258135719072,6.507672670165306,2.910319693161438,0.3938481495951202,0.176134247061439,506.9157276005969,306.7123031182637,506.9157276005969,False,True,False,1.0635957223047412,1.0886644345470338,Ursa_Major_Cloud,157.12755686338048,54.39755350644688,True,False,False,False,34.35090565329077,0.0017
VFID1643,31.64852023075263,4.468672540984091,14.159548526332994,5.431273872845774,0.1408823502718242,0.0415801109757476,6.732008075909423,4.263567725292759,5.846576463479814,1.844533120974157,0.8249002890496117,0.1311456367120673,0.0586501117281349,1581.0141828269004,1904.939884143046,1581.0141828269004,False,False,False,0.8113649313472276,0.8187788726574061,Canes_Venatici,33.80905353725404,63.84905353725404,True,False,False,False,37.31461889810514,0.0053
VFID1670,30.514710816881937,6.298379371327692,5.602943989710381,-4.112189749682313,0.1208734247687783,0.0356746633358064,8.561714906253023,-4.293036811329854,-3.696887159048274,1.0681403777232723,0.4776868988203078,0.147303910896981,0.0658763116234443,937.9374637703208,760.4588991271505,937.9374637703208,False,False,False,1.6629641397972978,1.6899239535077106,Leo_Minor,76.17818609974866,83.81818609974864,True,False,False,False,63.24515097663024,0.0031
VFID1729,29.441650383903045,1.7967642215166375,5.394159318571012,0.6465833018315598,0.6610620830896506,0.1951063048259198,4.06009975644197,-4.501821482469223,1.0618858924655994,6.894586715148835,3.0833529143679548,0.932396870975423,0.4169805571018293,572.2183707996115,541.6766833174347,572.2183707996115,False,True,False,1.008556247428866,1.034012677834124,Ursa_Major_Cloud,158.95609898317298,60.8238997961239,True,False,False,False,32.476671232985524,0.0019
VFID1754,30.723572038505207,3.4465828173778617,9.72710456467646,0.3710224290081734,0.5614707011954436,0.1657128378415933,5.709918352303193,-0.1688762363637757,0.786325019642213,10.861869661417751,4.857575785134545,0.7922165383348448,0.3542900065232561,1032.633303607922,842.8120662785315,1032.633303607922,False,True,False,0.8377750931678567,1.0198979124577163,Ursa_Major_Cloud,164.76567897352066,25.31567897352068,True,False,False,False,32.6829943188718,0.0034
VFID1776,31.38763408320319,4.74740169018296,13.192044021128773,0.0455751074792464,0.6990001095663514,0.2063033593047699,7.010737225108292,3.296063220088538,0.460877698113286,15.368379887125002,6.87294842633041,0.6854074042139116,0.3065235096207964,1402.0339701796568,1007.8890345271082,1402.0339701796568,False,True,False,0.7730733867784426,0.9456616736049064,Ursa_Major_Cloud,166.80261248272984,,True,False,False,False,32.76402543832533,0.0047
VFID1783,29.72852023075264,1.7420534949677833,6.095372018104103,1.5674899424869462,0.6034577867660588,0.1781049343263972,4.005389029893115,-3.800608782936133,1.9827925331209857,4.848117624780138,2.1681441143846416,1.5143691800327466,0.6772464859167677,653.0339588276684,458.1776853293873,653.0339588276684,False,True,False,1.080513411992102,1.0855053587952508,Canes_Venatici,95.97527583437028,67.75527652101579,True,False,False,False,32.87051038993605,0.0022
