VFID,GALAXY,RA_MOMENT,DEC_MOMENT,FLUX_AP06_G,FLUX_UNCERT_AP06_G,FLUX_AP06_R,FLUX_UNCERT_AP06_R,FLUX_AP06_Z,FLUX_UNCERT_AP06_Z,FLUX_AP06_FUV,FLUX_UNCERT_AP06_FUV,FLUX_AP06_NUV,FLUX_UNCERT_AP06_NUV,FLUX_AP06_W1,FLUX_UNCERT_AP06_W1,FLUX_AP06_W2,FLUX_UNCERT_AP06_W2,FLUX_AP06_W3,FLUX_UNCERT_AP06_W3,FLUX_AP06_W4,FLUX_UNCERT_AP06_W4,70Flux_SMA_AP06,100Flux_SMA_AP06,160Flux_SMA_AP06,70Flux_AP06_err,100Flux_AP06_err,160Flux_AP06_err
VFID4334,IC3061,183.7685639,14.02909545,9.829,0.491,17.768,0.888,28.691,1.435,0.509,0.025,0.864,0.043,20.737,1.037,12.545,0.627,39.475,1.974,44.065,2.537,0.378,,1052.627,18.92,,52.631
VFID4353,NGC4212,183.9136348,13.90231669,101.291,5.065,176.702,8.835,274.452,13.723,5.09,0.254,9.622,0.481,191.244,9.562,115.189,5.759,516.67,25.833,807.972,40.399,4.979,,9134.804,248.968,,456.74
VFID4382,NGC4689,191.940023,13.76264581,122.072,6.104,215.361,10.768,337.281,16.864,,,,,209.604,10.48,116.571,5.829,300.334,15.017,467.386,23.369,,7588.149,10320.97,,379.407,516.049
VFID4387,NGC3338,160.5313517,13.74713022,117.869,5.893,194.454,9.723,291.907,14.595,7.307,0.365,14.791,0.74,184.052,9.203,108.217,5.411,228.046,11.402,364.683,18.234,,10144.88,14492.113,,507.244,724.606
VFID4445,NGC4189,183.4471792,13.42495514,59.937,2.997,98.996,4.95,144.298,7.215,2.828,0.141,6.476,0.324,93.697,4.685,57.025,2.851,230.871,11.544,423.146,21.157,2.995,,6590.729,149.761,,329.536
VFID4450,NGC4037,180.3485395,13.40111003,42.015,2.101,71.069,3.553,101.788,5.089,2.36,0.118,3.559,0.178,58.562,2.928,30.726,1.536,53.877,2.694,108.073,7.779,,767.269,2234.774,,38.363,111.739
VFID4453,IC3611,189.7671818,13.36364339,10.825,0.541,17.011,0.851,22.857,1.143,0.259,0.013,0.975,0.049,11.664,0.583,6.238,0.312,5.325,0.668,2.368,3.092,0.131,,195.149,6.528,,9.757
VFID4464,NGC4222,184.0943902,13.30727889,16.293,0.815,29.299,1.465,47.31,2.365,0.442,0.022,1.065,0.053,38.8,1.94,23.307,1.165,75.464,3.773,121.325,6.066,1.213,,3237.985,60.628,,161.899
VFID4473,NGC4639,190.7175175,13.25778227,72.004,3.6,125.62,6.281,197.021,9.851,5.449,0.272,7.635,0.382,117.326,5.866,65.852,3.293,102.688,5.134,115.362,7.002,,3899.269,4173.609,,194.963,208.68
VFID4479,UGC08032,193.6839533,13.2371809,13.668,0.683,26.689,1.334,43.757,2.188,0.097,0.024,0.238,0.012,27.935,1.397,15.869,0.793,25.324,1.266,25.897,3.249,,721.369,899.012,,36.068,44.951
VFID4496,NGC4193,183.4733414,13.17277283,33.193,1.66,60.665,3.033,98.457,4.923,0.955,0.048,2.484,0.124,66.552,3.328,38.933,1.947,96.703,4.835,155.036,7.752,1.272,,3252.029,63.591,,162.601
VFID4507,NGC4654,190.9864719,13.12649033,200.469,10.023,327.995,16.4,503.299,25.165,14.596,0.73,21.992,1.1,330.222,16.511,208.982,10.449,878.911,43.946,1610.136,80.507,,38787.787,44807.484,,1939.389,2240.374
VFID4510,NGC4402,186.533323,13.1127881,51.406,2.57,102.615,5.131,185.499,9.275,0.515,0.026,1.984,0.099,172.117,8.606,106.788,5.339,446.563,22.328,650.367,32.518,6.752,,17066.185,337.598,,853.309
VFID4723,NGC4486,187.7055753,12.39103281,667.019,33.351,1398.496,69.925,2491.096,124.555,3.406,0.17,9.225,0.461,1909.415,95.471,1003.016,50.151,209.907,10.495,282.913,14.146,-0.689,1943.058,82598.312,-34.439,97.153,4129.916
VFID4731,IC3718,191.1891584,12.3508042,13.924,0.696,22.392,1.12,30.623,1.531,0.162,0.008,0.75,0.037,15.118,0.756,8.248,0.412,2.892,0.734,-3.648,3.479,,101.615,150.062,,5.081,7.503
VFID4778,NGC4351,186.0060613,12.20484567,33.309,1.665,50.977,2.549,67.834,3.392,2.042,0.102,4.064,0.203,36.01,1.801,19.767,0.988,46.819,2.341,46.856,6.851,0.788,,2040.111,39.422,,102.006
VFID4810,NGC4746,192.9786441,12.08432438,25.979,1.299,46.332,2.317,75.688,3.784,1.526,0.076,2.834,0.142,70.412,3.521,46.718,2.336,278.79,13.94,458.086,22.904,,9781.784,9317.573,,489.089,465.879
VFID4816,UGC06169,166.7640416,12.06025445,8.136,0.407,13.609,0.68,20.356,1.018,0.625,0.031,0.909,0.045,13.475,0.674,7.518,0.376,22.513,1.126,26.695,2.339,,512.804,548.331,,25.64,27.417
VFID4845,NGC4606,190.2396819,11.91197832,44.476,2.224,78.689,3.934,118.637,5.932,-0.236,0.008,1.017,0.051,72.548,3.627,42.607,2.13,60.367,3.018,54.403,9.997,,2514.838,2468.668,,125.742,123.433
VFID4853,NGC4607,190.299351,11.87920572,19.313,0.966,38.352,1.918,66.592,3.33,0.125,0.006,0.608,0.03,64.265,3.213,41.466,2.073,169.791,8.49,254.264,12.713,,3164.749,3509.464,,158.237,175.473
VFID4861,NGC4579,189.4309282,11.81813098,390.873,19.544,765.398,38.27,1483.529,74.176,3.163,0.158,11.371,0.569,877.28,43.864,490.289,24.514,445.688,22.284,848.678,42.434,5.216,10876.655,12354.639,260.784,543.833,617.732
VFID4886,NGC3351,160.9901262,11.70318133,363.481,18.174,688.821,34.441,1141.637,57.082,13.009,0.65,27.24,1.362,747.071,37.354,414.766,20.738,719.323,35.966,2339.479,116.974,20.572,30856.49,27225.296,1028.621,1542.825,1361.265
VFID4949,NGC3666,171.1089638,11.34221354,46.23,2.312,76.932,3.847,117.059,5.853,4.137,0.207,6.19,0.309,88.327,4.416,53.47,2.674,195.963,9.798,233.169,11.658,,6412.856,7044.216,,320.643,352.211
VFID4961,NGC4567,189.1358775,11.25812259,189.056,9.453,351.415,17.571,587.342,29.367,2.624,0.131,10.94,0.547,442.135,22.107,270.844,13.542,1149.532,57.477,1836.256,91.813,5.96,13425.251,16672.398,297.976,671.263,833.62
VFID4962,NGC4568,189.1426795,11.23894719,219.777,10.989,404.959,20.248,676.282,33.814,2.682,0.134,12.728,0.636,513.271,25.664,313.175,15.659,1302.302,65.115,2092.808,104.64,24.656,49751.764,57240.718,1232.794,2487.588,2862.036
VFID5030,NGC3547,167.4833238,10.72043609,23.726,1.186,33.768,1.688,44.252,2.213,2.404,0.12,4.279,0.214,28.645,1.432,17.178,0.859,80.841,4.042,145.555,7.278,,2873.415,2441.931,,143.671,122.097
VFID5154,NGC5669,218.1830463,9.891483004,67.85,3.393,95.788,4.789,126.666,6.333,10.759,0.538,14.276,0.714,61.234,3.062,34.675,1.734,92.692,4.635,207.338,10.367,,2889.896,3124.519,,144.495,156.226
VFID5176,NGC4779,193.4617327,9.710233611,33.694,1.685,55.354,2.768,80.344,4.017,2.244,0.112,4.684,0.234,47.595,2.38,28.027,1.401,107.351,5.368,244.819,12.241,,2424.752,2306.294,,121.238,115.315
VFID5194,NGC4207,183.8764623,9.585198773,22.838,1.142,44.86,2.243,76.532,3.827,0.186,0.018,0.841,0.042,65.363,3.268,40.747,2.037,177.198,8.86,230.224,11.511,,5740.187,5077.864,,287.009,253.893
VFID5222,NGC4424,186.798667,9.420445028,73.534,3.677,125.95,6.297,188.508,9.425,0.889,0.044,3.066,0.153,106.368,5.318,63.304,3.165,134.757,6.738,288.759,14.438,3.801,,5392.96,190.061,,269.648
VFID5223,NGC3692,172.0995904,9.407708757,32.781,1.639,59.88,2.994,100.413,5.021,0.89,0.044,2.633,0.132,74.03,3.702,42.225,2.111,90.104,4.505,103.846,5.192,,2398.368,2807.923,,119.918,140.396
VFID5236,NGC4316,185.6757978,9.332822645,20.817,1.041,43.373,2.169,80.651,4.033,0.301,0.015,0.788,0.039,74.66,3.733,45.172,2.259,132.496,6.625,161.059,8.053,1.79,,4537.462,89.506,,226.873
VFID5241,NGC3049,148.7065602,9.271179853,26.642,1.332,44.561,2.228,64.575,3.229,1.458,0.073,2.921,0.146,33.432,1.672,17.582,0.879,106.303,5.315,418.48,20.924,2.875,3551.117,2732.899,143.729,177.556,136.645
VFID5244,NGC4451,187.1687748,9.259165649,24.636,1.232,43.229,2.161,65.385,3.269,1.103,0.055,2.272,0.114,42.633,2.132,24.684,1.234,104.684,5.234,163.986,8.199,2.102,,3305.578,105.122,,165.279
VFID5257,NGC4522,188.415298,9.17410734,34.822,1.741,56.242,2.812,82.827,4.141,2.486,0.124,4.258,0.213,55.394,2.77,31.189,1.559,106.4,5.32,122.56,6.256,1.797,,4072.6,89.858,,203.63
VFID5276,NGC4307,185.523325,9.04381988,44.457,2.223,92.825,4.641,167.461,8.373,0.193,0.01,0.83,0.041,128.015,6.401,70.643,3.532,100.193,5.01,133.955,6.698,1.436,,4947.647,71.814,,247.382
VFID5292,NGC5248,204.383383,8.885896418,255.854,12.793,452.179,22.609,724.689,36.234,15.42,0.771,24.124,1.206,472.804,23.64,290.152,14.508,1334.468,66.723,2463.114,123.156,,51779.649,58707.058,,2588.982,2935.353
VFID5324,NGC4519,188.3773737,8.655687412,62.299,3.115,88.948,4.447,113.973,5.699,8.39,0.42,12.013,0.601,56.534,2.827,35.292,1.765,174.702,8.735,529.075,26.454,2.749,,3716.445,137.468,,185.822
VFID5405,NGC4791,193.6831376,8.05309674,5.924,0.296,10.835,0.542,16.966,0.848,0.267,0.024,0.351,0.018,9.993,0.5,5.538,0.277,9.879,0.494,11.4,1.77,,167.265,176.507,,8.363,8.825
VFID5429,NGC4416,186.6950671,7.919424766,27.939,1.397,45.556,2.278,64.552,3.228,1.855,0.093,3.815,0.191,41.456,2.073,24.248,1.212,82.882,4.144,109.326,5.466,0.823,,1879.091,41.16,,93.955
VFID5432,UGC08045,193.8476798,7.909812005,7.494,0.375,12.061,0.603,16.809,0.84,0.59,0.034,0.789,0.039,9.906,0.495,5.836,0.292,14.156,0.708,24.092,2.562,,260.425,272.773,,13.021,13.639
VFID5436,UGC07802,189.5870658,7.891802632,6.086,0.304,9.846,0.492,13.47,0.674,0.328,0.016,0.667,0.033,7.496,0.375,4.332,0.217,7.258,0.486,8.076,2.302,,204.67,202.062,,10.233,10.103
VFID5477,NGC4276,185.0312158,7.691968401,20.67,1.034,33.237,1.662,45.435,2.272,0.996,0.05,2.584,0.129,25.447,1.272,14.872,0.744,47.521,2.376,77.597,4.794,,887.137,1054.287,,44.357,52.714
VFID5508,NGC4370,186.228826,7.444503872,23.296,1.165,48.605,2.43,88.006,4.4,0.051,0.004,0.269,0.013,69.975,3.499,39.514,1.976,47.762,2.388,54.893,3.652,1.342,,2950.92,67.097,,147.546
VFID5526,UGC07557,186.7968483,7.263047082,17.101,0.855,23.749,1.187,30.389,1.519,2.418,0.121,3.865,0.193,12.878,0.644,6.148,0.307,2.843,1.412,-16.625,6.079,0.332,,615.503,16.617,,30.775
VFID5532,IC3322A,186.4277564,7.217193095,20.613,1.031,36.533,1.827,58.74,2.937,1.261,0.063,2.29,0.115,54.191,2.71,33.287,1.664,118.572,5.929,192.68,9.634,1.471,,3347.723,73.569,,167.386
VFID5544,NGC3526,166.7357403,7.173829883,16.536,0.827,24.991,1.25,33.444,1.672,,,2.728,0.136,19.256,0.963,10.957,0.548,28.761,1.438,55.389,3.288,,1019.536,1035.222,,50.977,51.761
VFID5546,IC3521,188.6644241,7.160205125,16.5,0.825,29.662,1.483,44.807,2.24,0.628,0.031,1.466,0.073,27.386,1.369,15.533,0.777,55.008,2.75,137.187,6.859,1.175,1907.328,1853.519,58.766,95.366,92.676
VFID5573,NGC4180,183.2626571,7.03897264,27.686,1.384,54.959,2.748,95.884,4.794,0.449,0.022,1.342,0.067,79.155,3.958,49.667,2.483,202.967,10.148,322.419,16.121,4.62,,5647.173,230.993,,282.359
VFID5582,NGC4343,185.9111868,6.954193421,31.823,1.591,66.731,3.337,121.945,6.097,0.405,0.02,0.962,0.048,95.798,4.79,55.052,2.753,109.785,5.489,136.616,6.831,1.692,,4176.841,84.597,,208.842
VFID5625,IC3229,185.7196772,6.679690514,4.277,0.214,6.641,0.332,8.839,0.442,0.356,0.018,0.591,0.03,4.528,0.226,2.295,0.115,3.014,0.464,4.326,2.046,0.006,,80.086,0.303,,4.004
VFID5627,IC3225,185.6618667,6.676541757,9.753,0.488,15.539,0.777,21.624,1.081,0.627,0.031,1.17,0.058,12.279,0.614,6.547,0.327,14.666,0.733,13.668,3.137,0.088,,407.002,4.381,,20.35
VFID5632,IC3115,184.4992921,6.654353704,18.738,0.937,27.789,1.389,35.97,1.798,1.953,0.098,2.91,0.145,17.821,0.891,10.399,0.52,18.145,1.004,27.922,4.736,0.136,,459.502,6.798,,22.975
VFID5637,IC3268,186.0312783,6.607718759,14.12,0.706,19.871,0.994,24.702,1.235,2.426,0.121,3.376,0.169,12.602,0.63,7.351,0.368,21.207,1.06,42.653,2.471,0.598,,651.599,29.892,,32.58
VFID5652,NGC4532,188.5807998,6.467179205,60.32,3.016,83.64,4.182,102.761,5.138,10.839,0.542,16.534,0.827,65.473,3.274,42.809,2.14,214.528,10.726,758.969,37.948,,10784.046,8159.155,,539.202,407.958
VFID5676,NGC4430,186.8595546,6.263287639,49.593,2.48,81.892,4.095,119.93,5.997,3.263,0.163,4.708,0.235,67.174,3.359,37.717,1.886,90.165,4.508,149.389,7.469,,3310.186,4065.469,,165.509,203.273
VFID5713,NGC4591,189.8016921,6.012326425,16.237,0.812,28.883,1.444,44.947,2.247,0.742,0.037,1.522,0.076,30.085,1.504,16.807,0.84,41.983,2.099,67.359,3.368,,1234.673,1428.174,,61.734,71.409
VFID5743,NGC4423,186.787111,5.879639739,14.223,0.711,20.98,1.049,27.82,1.391,1.194,0.06,2.219,0.111,13.975,0.699,6.97,0.349,15.331,1.222,34.154,5.962,0.529,884.205,1161.297,26.456,44.21,58.065
VFID5759,NGC4197,183.6605778,5.805761121,24.358,1.218,37.633,1.882,52.703,2.635,2.716,0.136,3.917,0.196,37.056,1.853,21.892,1.095,101.114,5.056,207.632,10.382,2.284,,4024.661,114.2,,201.233
VFID5776,UGC07579,186.9809013,5.721128536,5.967,0.298,9.985,0.499,14.366,0.718,0.374,0.019,0.616,0.031,9.346,0.467,5.611,0.281,18.47,0.924,24.169,2.235,,481.993,482.391,,24.1,24.12
VFID5842,NGC5356,208.7432204,5.33413312,26.945,1.347,54.488,2.724,94.614,4.731,0.369,0.018,0.849,0.042,68.693,3.435,38.224,1.911,93.109,4.655,101.178,5.059,,2209.464,3168.793,,110.473,158.44
VFID5846,NGC4713,192.4903607,5.311053671,67.684,3.384,92.886,4.644,113.297,5.665,13.867,0.693,18.712,0.936,67.425,3.371,41.615,2.081,212.378,10.619,388.544,19.427,,4575.311,4622.254,,228.766,231.113
VFID5852,NGC4324,185.775757,5.250379094,61.728,3.086,123.315,6.166,209.84,10.492,0.293,0.025,1.59,0.079,128.481,6.424,72.385,3.619,55.1,2.755,89.036,4.97,0.667,,1929.452,33.362,,96.473
VFID5855,NGC5348,208.5468186,5.227339119,18.06,0.903,30.598,1.53,46.289,2.314,1.192,0.06,1.948,0.097,28.46,1.423,15.63,0.782,25.779,1.289,32.71,4.421,,978.372,1212.559,,48.919,60.628
VFID5889,NGC5364,209.0494543,5.014819954,193.494,9.675,326.97,16.348,503.903,25.195,11.824,0.591,17.394,0.87,304.38,15.219,168.126,8.406,267.83,13.392,529.823,26.491,,8200.985,11317.3,,410.049,565.865
VFID5905,IC1048,220.7410188,4.890060238,21.426,1.071,41.073,2.054,70.746,3.537,0.469,0.023,1.089,0.054,58.38,2.919,35.242,1.762,124.254,6.213,177.685,8.884,,4374.04,4687.432,,218.702,234.372
VFID5960,NGC4303,185.4787012,4.474482711,436.635,21.832,690.423,34.521,972.278,48.614,40.998,2.05,70.217,3.511,716.482,35.824,441.387,22.069,2082.487,104.124,3836.655,191.833,29.544,,47809.043,1477.201,,2390.452
VFID5962,NGC4765,193.3104903,4.463473222,24.439,1.222,32.992,1.65,40.112,2.006,4.31,0.215,6.85,0.343,22.942,1.147,14.144,0.707,61.095,3.055,177.127,8.856,2.019,2716.787,2062.101,100.969,135.839,103.105
VFID5964,NGC5668,218.3507948,4.450742659,69.886,3.494,96.792,4.84,119.898,5.995,11.306,0.565,16.583,0.829,64.961,3.248,38.588,1.929,123.243,6.162,233.236,11.662,,2791.917,2734.021,,139.596,136.701
VFID5988,NGC4808,193.9538682,4.304284566,58.029,2.901,89.506,4.475,126.227,6.311,6.046,0.302,9.552,0.478,96.549,4.827,63.581,3.179,400.667,20.033,654.671,32.734,,9413.118,8755.232,,470.656,437.762
VFID5992,NGC4480,187.6116451,4.246658461,29.719,1.486,48.96,2.448,71.822,3.591,2.852,0.143,4.135,0.207,83.817,4.191,48.194,2.41,95.084,4.754,128.339,6.417,,1873.609,2116.914,,93.68,105.846
VFID5995,UGC07387,185.0723774,4.201619125,6.053,0.303,11.47,0.574,19.256,0.963,0.112,0.006,0.317,0.016,15.17,0.759,8.294,0.415,24.2,1.21,31.079,2.427,0.116,,391.32,5.822,,19.566
VFID6023,NGC4412,186.6498386,3.965099558,32.811,1.641,53.96,2.698,77.981,3.899,2.248,0.112,4.292,0.215,50.587,2.529,30.825,1.541,154.223,7.711,417.452,20.873,2.71,4103.773,3425.434,135.514,205.189,171.272
VFID6028,NGC5300,207.0670206,3.950996242,60.647,3.032,97.795,4.89,138.469,6.923,6.168,0.308,7.811,0.391,78.613,3.931,43.981,2.199,105.969,5.298,153.047,7.652,,1469.326,1891.143,,73.466,94.557
VFID6048,IC1022,217.5077034,3.772610957,5.552,0.278,8.666,0.433,11.903,0.595,0.482,0.024,0.81,0.04,6.557,0.328,3.648,0.182,8.306,0.415,9.239,1.172,,170.513,174.919,,8.526,8.746
VFID6056,NGC4289,185.259277,3.722219714,11.416,0.571,22.915,1.146,42.741,2.137,0.387,0.022,0.538,0.027,43.933,2.197,25.332,1.267,61.926,3.096,70.943,4.12,1.024,,2082.417,51.21,,104.121
VFID6060,NGC4234,184.2878956,3.683521199,23.754,1.188,36.932,1.847,50.318,2.516,2.853,0.143,3.874,0.194,31.728,1.586,19.537,0.977,81.866,4.093,147.526,7.376,1.801,,2931.2,90.061,,146.56
VFID6091,NGC5577,215.3048845,3.436499034,30.838,1.542,51.972,2.599,77.039,3.852,1.524,0.076,2.903,0.145,48.525,2.426,27.325,1.366,66.864,3.343,79.458,3.973,,1402.911,1858.552,,70.146,92.928
VFID6093,UGC07522,186.4930126,3.430398903,10.071,0.504,20.715,1.036,38.084,1.904,0.185,0.029,0.282,0.014,36.71,1.836,22.902,1.145,44.541,2.227,63.663,5.332,,1514.313,2215.355,,75.716,110.768
VFID6098,NGC5692,219.575371,3.410084345,19.34,0.967,28.275,1.414,37.19,1.86,2.622,0.131,3.778,0.189,24.163,1.208,14.836,0.742,74.597,3.73,112.699,5.635,,1975.242,1512.685,,98.762,75.634
VFID6179,NGC4799,193.8142054,2.896640958,15.902,0.795,30.566,1.528,51.654,2.583,0.49,0.024,0.979,0.049,39.388,1.969,22.635,1.132,71.136,3.557,94.245,4.712,,2295.502,2088.122,,114.775,104.406
VFID6182,NGC4123,182.0464522,2.878363033,86.955,4.348,142.393,7.12,207.193,10.36,8.905,0.445,11.003,0.55,120.542,6.027,71.995,3.6,255.444,12.772,1231.151,61.558,,7263.145,6619.454,,363.157,330.973
VFID6185,UGC07982,192.4592726,2.851174192,15.316,0.766,28.803,1.44,48.637,2.432,0.133,0.008,0.7,0.035,34.264,1.713,19.384,0.969,41.725,2.086,42.469,4.068,,783.874,1108.495,,39.194,55.425
VFID6247,NGC4409,186.7435284,2.494469255,39.89,1.994,61.367,3.068,83.287,4.164,4.521,0.226,7.183,0.359,56.092,2.805,33.835,1.692,159.9,7.995,227.684,11.384,,4038.589,3810.652,,201.929,190.533
VFID6306,NGC5147,201.5822909,2.100788564,34.384,1.719,49.957,2.498,69.157,3.458,6.283,0.314,9.763,0.488,44.338,2.217,27.674,1.384,122.186,6.109,228.759,11.438,,2338.477,2405.911,,116.924,120.296
VFID6380,UGC09215,215.8628342,1.725721645,32.029,1.601,44.087,2.204,54.452,2.723,5.172,0.259,7.472,0.374,27.545,1.377,16.365,0.818,52.299,2.615,114.498,5.725,,1635.678,1621.73,,81.784,81.087
VFID6456,UGC07991,192.6622797,1.465371147,8.05,0.402,14.545,0.727,22.626,1.131,0.003,0.004,0.334,0.017,14.568,0.728,8.464,0.423,13.266,0.914,10.813,4.35,,338.306,627.389,,16.915,31.369
VFID6480,NGC4771,193.3383435,1.269337211,43.912,2.196,82.07,4.103,138.624,6.931,0.783,0.039,2.506,0.125,93.237,4.662,55.033,2.752,125.681,6.284,142.552,7.128,,2628.676,3442.916,,131.434,172.146
VFID6643,NGC4904,195.2440984,-0.02764153011,51.455,2.573,81.752,4.088,115.375,5.769,3.587,0.179,6.291,0.315,69.027,3.451,40.947,2.047,173.543,8.677,292.013,14.601,,3678.748,3635.536,,183.937,181.777
VFID6645,NGC3521,166.4530051,-0.03554411436,677.651,33.883,934.947,46.747,1754.852,87.743,17.45,0.872,40.188,2.009,1941.846,97.092,1153.935,57.697,3710.77,185.538,5352.0,267.6,65.976,135105.557,151218.994,3298.807,6755.278,7560.95
VFID6673,NGC5713,220.049343,-0.2863017369,104.15,5.207,178.037,8.902,262.677,13.134,3.983,0.199,9.677,0.484,202.925,10.146,131.785,6.589,973.097,48.655,2455.86,122.793,25.408,36448.784,30374.718,1270.381,1822.439,1518.736
VFID6708,NGC4592,189.823591,-0.5325938511,62.226,3.111,86.874,4.344,108.886,5.444,11.67,0.583,15.746,0.787,59.001,2.95,35.044,1.752,60.891,3.045,129.935,7.234,,3493.795,3784.385,,174.69,189.219
VFID6759,NGC4030,180.0983262,-1.100512132,196.106,9.805,344.381,17.219,555.828,27.791,10.413,0.521,21.384,1.069,431.288,21.564,260.519,13.026,1206.801,60.34,1893.374,94.669,,40371.149,40446.82,,2018.557,2022.341
VFID6761,NGC5334,208.2268252,-1.11452113,71.452,3.573,112.473,5.624,156.733,7.837,6.68,0.334,9.1,0.455,86.556,4.328,49.524,2.476,66.264,3.313,101.53,6.769,,2820.777,3746.605,,141.039,187.33
