VFID,GALAXY,RA_MOMENT,DEC_MOMENT,FLUX_AP06_G,FLUX_UNCERT_AP06_G,FLUX_AP06_R,FLUX_UNCERT_AP06_R,FLUX_AP06_Z,FLUX_UNCERT_AP06_Z,FLUX_AP06_FUV,FLUX_UNCERT_AP06_FUV,FLUX_AP06_NUV,FLUX_UNCERT_AP06_NUV,FLUX_AP06_W1,FLUX_UNCERT_AP06_W1,FLUX_AP06_W2,FLUX_UNCERT_AP06_W2,FLUX_AP06_W3,FLUX_UNCERT_AP06_W3,FLUX_AP06_W4,FLUX_UNCERT_AP06_W4,70Flux_SMA_AP06,100Flux_SMA_AP06,160Flux_SMA_AP06,70Flux_AP06_err,100Flux_AP06_err,160Flux_AP06_err
VFID1754,NGC4051,180.7899119,44.53154226,237.592,11.88,396.031,19.802,332.494,16.625,15.927,0.796,24.823,1.241,420.56,21.028,295.9,14.795,1006.53,50.326,2250.002,112.5,12.295,23008.567,27612.169,614.74,1150.428,1380.608
VFID1776,NGC3938,178.2050319,44.12086518,220.025,11.001,352.461,17.623,262.732,13.137,25.163,1.258,35.224,1.761,309.114,15.456,181.087,9.054,587.911,29.396,1021.001,51.05,6.171,13205.874,14896.868,308.553,660.294,744.843
VFID1783,NGC5023,198.0498152,44.03840841,44.639,2.232,68.757,3.438,71.328,3.566,3.174,0.159,7.589,0.379,57.804,2.89,32.146,1.607,37.368,2.738,51.602,13.687,,414.309,1798.921,,20.715,89.946
VFID1803,NGC4183,183.3204819,43.69823852,32.662,1.633,52.859,2.643,57.07,2.853,2.056,0.103,4.877,0.244,49.078,2.454,28.845,1.442,61.562,3.078,80.957,5.808,,2405.319,3348.197,,120.266,167.41
VFID1804,NGC4138,182.3741141,43.68539698,78.547,3.927,168.247,8.412,230.152,11.508,1.833,0.092,3.415,0.171,171.587,8.579,96.303,4.815,170.011,8.501,192.319,9.616,1.86,,3229.519,93.003,,161.476
VFID1928,NGC5899,228.7631309,42.04963126,51.58,2.579,105.101,5.255,163.686,8.184,1.669,0.083,2.645,0.132,152.38,7.619,93.673,4.684,329.835,16.492,574.534,28.727,4.241,,7423.191,212.054,,371.16
VFID1933,NGC2798,139.3453178,42.00001382,44.331,2.217,72.754,3.638,91.461,4.573,0.909,0.045,2.158,0.108,106.849,5.342,73.637,3.682,590.231,29.512,2585.923,129.296,23.313,26614.276,17829.305,1165.627,1330.714,891.465
VFID1934,NGC2799,139.378536,41.99410054,10.301,0.515,16.282,0.814,19.655,0.983,0.94,0.047,1.469,0.073,13.993,0.7,8.422,0.421,32.82,1.641,70.861,3.543,,787.487,643.14,,39.374,32.157
VFID1953,NGC5290,206.318548,41.71365934,40.958,2.048,88.78,4.439,151.517,7.576,0.593,0.032,1.154,0.058,116.835,5.842,72.339,3.617,180.287,9.014,227.555,11.378,2.383,,5158.76,119.169,,257.938
VFID1999,NGC4625,190.4695875,41.27396292,34.806,1.74,56.468,2.823,67.267,3.363,4.008,0.2,6.065,0.303,47.711,2.386,27.112,1.356,102.388,5.119,140.218,7.011,1.311,2720.964,2902.902,65.57,136.048,145.145
VFID2068,NGC5355,208.4397685,40.33878364,12.132,0.607,23.144,1.157,28.84,1.442,0.026,0.019,0.159,0.008,26.453,1.323,14.532,0.727,2.895,0.461,6.748,2.288,0.082,,80.93,4.098,,4.047
VFID2143,NGC5582,215.1796752,39.69368651,55.913,2.796,113.593,5.68,121.148,6.057,,,,,109.018,5.451,57.435,2.872,20.466,1.023,4.705,3.758,,4.757,20.63,,0.238,1.032
VFID2157,UGC09242,216.336268,39.53936583,12.408,0.62,17.31,0.866,16.259,0.813,0.7,0.035,2.051,0.103,11.869,0.593,6.554,0.328,8.764,0.627,12.659,3.125,,414.213,431.253,,20.711,21.563
VFID2254,NGC5303,206.9377003,38.30485657,21.95,1.097,30.567,1.528,33.935,1.697,2.78,0.139,3.873,0.194,28.055,1.403,18.857,0.943,145.854,7.293,261.914,13.096,,3235.485,2455.162,,161.774,122.758
VFID2313,NGC3294,159.067987,37.32472505,87.077,4.354,159.638,7.982,214.372,10.719,5.565,0.278,9.477,0.474,184.398,9.22,112.211,5.611,466.213,23.311,734.357,36.718,,14613.445,16656.201,,730.672,832.81
VFID2324,IC2461,139.991393,37.19130409,9.181,0.459,19.478,0.974,31.393,1.57,,,,,42.2,2.11,28.516,1.426,82.076,4.104,140.707,7.035,1.455,,2649.051,72.755,,132.453
VFID2372,NGC3813,175.3273273,36.54691896,59.52,2.976,99.219,4.961,132.551,6.628,4.989,0.249,8.117,0.406,120.272,6.014,78.445,3.922,519.745,25.987,802.874,40.144,,12926.95,11742.04,,646.347,587.102
VFID2387,NGC3755,174.1389036,36.41045593,28.838,1.442,42.191,2.11,38.229,1.911,5.843,0.292,7.368,0.368,31.63,1.582,20.772,1.039,38.825,1.941,42.175,6.361,,1910.02,2092.492,,95.501,104.625
VFID2498,UGC05738,158.624083,35.25682281,9.232,0.462,13.592,0.68,15.383,0.769,,,,,10.116,0.506,5.888,0.294,28.245,1.412,41.637,2.082,,553.106,492.773,,27.655,24.639
VFID2535,PGC044532,194.757684,34.85844754,36.483,1.824,42.712,2.136,23.901,1.195,10.936,0.547,7.005,0.35,22.186,1.109,12.747,0.637,57.771,2.889,378.416,18.921,1.754,1789.538,1128.426,87.717,89.477,56.421
VFID2544,NGC3381,162.104894,34.7116414,30.973,1.549,47.365,2.368,46.2,2.31,2.366,0.118,5.597,0.28,37.689,1.884,22.91,1.145,92.286,4.614,144.403,7.22,,2916.214,2991.228,,145.811,149.561
VFID2620,NGC5347,208.3241285,33.49061666,27.328,1.366,50.592,2.53,64.431,3.222,0.586,0.03,1.973,0.099,60.823,3.041,54.45,2.722,286.691,14.335,898.442,44.922,1.206,1709.071,1760.401,60.296,85.454,88.02
VFID2665,NGC3396,162.480572,32.99074798,57.441,2.872,81.677,4.084,86.746,4.337,9.319,0.466,13.872,0.694,61.243,3.062,39.558,1.978,272.08,13.604,959.196,47.96,4.898,6146.302,4450.2,244.881,307.315,222.51
VFID2667,NGC3395,162.4586357,32.98305092,74.7,3.735,103.466,5.173,109.863,5.493,14.807,0.74,21.394,1.07,79.834,3.992,50.79,2.539,347.76,17.388,1073.626,53.681,6.141,8711.271,7154.136,307.034,435.564,357.707
VFID2670,NGC3430,163.0475607,32.95080673,205.101,10.255,454.601,22.73,126.513,6.326,6.564,0.328,10.7,0.535,112.511,5.626,66.366,3.318,274.048,13.702,420.344,21.017,,7461.657,8223.194,,373.083,411.16
VFID2677,NGC3424,162.9429337,32.90047587,23.448,1.172,46.864,2.343,74.631,3.732,0.795,0.04,1.553,0.078,85.168,4.258,57.299,2.865,318.369,15.918,652.964,32.648,,13179.122,11383.366,,658.956,569.168
VFID2723,NGC3991,179.3770056,32.33458819,17.556,0.878,23.295,1.165,27.945,1.397,6.357,0.318,7.909,0.395,19.601,0.98,12.218,0.611,75.406,3.77,241.298,12.065,2.418,3212.225,2383.499,120.884,160.611,119.175
VFID2727,NGC3994,179.4035646,32.27748188,22.762,1.138,41.889,2.094,59.772,2.989,1.286,0.064,2.625,0.131,54.421,2.721,34.888,1.744,206.773,10.339,368.268,18.413,4.834,6845.733,5123.687,241.713,342.287,256.184
VFID2760,NGC3788,174.9358639,31.93133831,30.554,1.528,55.449,2.772,93.498,4.675,0.908,0.045,2.271,0.114,72.932,3.647,42.438,2.122,118.174,5.909,176.022,8.801,1.347,,2840.844,67.361,,142.042
VFID2764,NGC3786,174.9270861,31.90931753,34.405,1.72,62.638,3.132,100.475,5.024,0.521,0.026,1.434,0.072,74.081,3.704,45.777,2.289,138.985,6.949,295.651,14.783,2.594,,3077.878,129.716,,153.894
VFID2795,NGC4359,186.0477767,31.5215357,23.223,1.161,37.281,1.864,51.747,2.587,0.706,0.035,2.992,0.15,28.866,1.443,16.739,0.837,31.922,1.596,30.343,4.522,,1227.337,1702.007,,61.367,85.1
VFID2881,NGC4525,188.4629333,30.27782117,27.919,1.396,44.85,2.242,62.508,3.125,2.053,0.103,3.113,0.156,34.832,1.742,19.418,0.971,46.646,2.332,42.61,4.104,,769.865,1041.525,,38.493,52.076
VFID3019,NGC3245A,156.755008,28.63925211,6.168,0.308,10.379,0.519,15.522,0.776,0.211,0.011,0.589,0.029,10.418,0.521,6.17,0.309,9.58,0.567,9.751,2.663,,187.374,212.598,,9.369,10.63
VFID3026,NGC3380,162.0507276,28.60186741,24.998,1.25,44.895,2.245,70.322,3.516,1.21,0.06,1.913,0.096,43.235,2.162,23.799,1.19,47.487,2.374,66.569,3.328,,1259.386,1278.5,,62.969,63.925
VFID3084,NGC3512,166.0117341,28.03699017,31.89,1.595,52.645,2.632,78.97,3.949,2.668,0.133,5.195,0.26,48.432,2.422,28.522,1.426,107.182,5.359,154.04,7.702,,2416.452,2221.283,,120.823,111.064
VFID3105,UGC05958,162.8157628,27.84881116,4.674,0.234,8.485,0.424,13.652,0.683,0.011,0.008,0.203,0.01,9.866,0.493,5.594,0.28,11.339,0.567,11.279,2.122,,299.532,296.585,,14.977,14.829
