id,bayes.gas.mass,GAL_LOG_SFR_HA,t_dep1(CO),bayes.sfh.sfr,t_dep2(CIGALE),Mgas
VFID0956,263064706.90427694,-0.9409999847412109,40681748833.898415,0.0148058022309553,4503952764.802353,9.668399629435422
VFID1035,587585839.7765856,-0.3409999907016754,8453271517.22011,1.6594906596740973,84437267.06047824,9.586024827941154
VFID1212,2470822167.290177,0.0,9794643055.98409,2.329907379339021,45822758.974681586,9.99098861372115
VFID1374,872459048.0316075,-0.3240000009536743,18982049900.41341,0.0223771667672718,8549996619.642263,9.954343109791234
VFID1754,1682394173.357117,-0.3919999897480011,8980868216.716976,1.4101081430734077,141647916.5030842,9.561318333946325
VFID1804,573983462.7650074,-1.0700000524520874,18139193479.881958,0.0582937813453226,1349970068.3515146,9.188617920733751
VFID1933,1198390552.4479003,-0.32100000977516174,9514400104.599943,1.1515161023264624,320527501.723215,9.657381400874655
VFID1934,158459158.04571405,-1.1200000047683716,27868641690.77416,0.1578865055633783,1469702021.4611173,9.325115797078151
VFID1953,391332989.40701693,-0.11699999868869781,13562264489.882996,0.084350105990557,8530649629.767713,10.015332211001065
VFID2313,1409933576.9848454,-0.3720000088214874,14869276011.17942,0.1130881549426343,4866331154.106497,9.800289814306767
VFID2544,816412347.512035,-0.550000011920929,10886281901.190798,0.5160142950591734,935115529.1493677,9.486879564298087
VFID2620,211836879.56321746,-0.36800000071525574,3915106573.5480866,0.0604376720134482,1459842206.9113064,9.224743587817631
VFID2670,2841141590.0009837,-0.44200000166893005,57460338226.03219,0.8564920808259141,2889855287.372444,10.317368176361295
VFID2677,996219370.3196442,-0.8429999947547913,19489160586.62921,0.8653202353723299,381480992.6070552,9.446793139363054
VFID2760,1213943213.7182257,-0.10599999874830246,15830088184.416313,0.6354463939942369,2871024783.354606,10.09348333543804
VFID2764,2842412558.602137,0.004279999993741512,9053647159.709684,0.0066713940906786,9003931265.149342,9.961103565083722
VFID2795,253469945.18951017,-1.8300000429153442,127847288463.88164,0.0342613039503591,1747552270.1119444,9.276691478514968
VFID2881,40632210.036043204,-1.4900000095367432,16561956565.260206,0.0328881727700934,496847900.5559597,8.72911163180719
VFID3019,31581490.51355259,-1.9600000381469727,158830729409.06454,0.016492876133545,1676646922.2737582,9.240934492196622
VFID3174,531286744.2419738,0.0,7953546791.029056,0.667630039887096,1709742866.8316305,9.900560840388597
VFID3221,13215485.561944997,-1.4700000286102295,4538758913.531543,0.0395738012425172,140398764.1506828,8.186937086209372
VFID3300,38700512.32925347,-1.059999942779541,7980889810.181097,0.1257838906485588,520316359.84287167,8.84205137189302
VFID4177,380625601.5242726,-0.41499999165534973,7868083876.621656,0.0547802144234696,2667403857.6997023,9.48086898935298
VFID4179,426671830.0967782,-0.28200000524520874,6843779304.5681095,0.2360809824961721,2075941009.872029,9.553295990896553
VFID5292,1021110940.814708,0.027000000700354576,4615054687.912973,0.0772188314774874,4111099811.6427693,9.69117685243674
VFID5842,449801892.1321001,0.0,1588716188.8480132,0.0293366223219567,1484942710.097353,9.20104632097954
VFID5855,142160687.9156366,-1.0800000429153442,9145088701.804548,0.0640281922376827,656386570.7322147,8.88118787931015
VFID5889,1632633043.331655,-0.2840000092983246,5634059429.571804,0.4286385119640019,1091900091.7070603,9.46682141443041
VFID5905,422697745.9376749,-0.9169999957084656,29236879142.398582,0.0033623183021107,3512114761.8905926,9.548931016778065
VFID5960,1943533439.6806612,0.6150000095367432,3864359223.8032064,2.597043085142046,40274894.8505764,10.20207750038168
VFID5964,393536850.4791131,-0.14000000059604645,9884889834.791643,0.9403714354349666,821486437.047563,9.854971832951602
VFID6028,262217833.69921103,-0.6039999723434448,7354646915.836886,0.2176978390908099,1108827571.640213,9.262561855476802
VFID6048,61825464.31884087,-1.1799999475479126,29417022241.333252,0.077887141608211,1624469716.8548124,9.288598761305565
VFID6091,500330808.1535426,-0.8240000009536743,7674141653.420891,0.1216478129012634,869725087.3043694,9.06102981042299
VFID6098,135598033.5577983,-0.6769999861717224,3259561232.9857845,0.3415198488781329,312348416.74864393,8.83615915778649
VFID6380,168013992.14081192,-0.5690000057220459,10483716528.453783,0.3228544909413162,1344809513.6261911,9.45151526372605
