id,log(bayes.dust.mass),log(bayes.dust.mass_err),log(best.dust.mass),log(bayes.gas.mass),log(bayes.gas.mass_err),log(best.gas.mass),log(best.gas.mass_err),bayes.sfh.sfr,best.reduced_chi_square
b'VFID0018',0.10629263320626492,206.13220735021594,-inf,1.966292633206265,206.13232475056506,-inf,0.22,0.0006937742731754937,65.90208135555993
b'VFID0087',6.659897359426643,0.02171472409516259,6.658589205128745,8.519897359426643,0.2210690598942535,8.518589205128745,0.22,0.05687894353690378,5.905487951673706
b'VFID0132',4.498404634400274,0.3754482682089862,4.200947976651789,6.358404634400275,0.435156755780175,6.060947976651789,0.22,0.0021250479827688382,3.718122388315338
b'VFID0187',6.29863371982624,0.021714724095162587,6.291782464850155,8.15863371982624,0.2210690598942535,8.151782464850156,0.22,0.17335161001520066,2.978175276055851
b'VFID0240',6.059913967592476,0.03982884370672916,6.0559100716712,7.919913967592477,0.2235762437984301,7.915910071671201,0.22,0.0038039770889340308,43.304991390945375
b'VFID0488',6.615143664054894,0.07773324229510442,6.632489053561181,8.475143664054894,0.2333290743943185,8.492489053561181,0.22,0.0032894055689969503,38.29182472357179
b'VFID0692',6.066265548455204,0.02171472409516259,6.065820572463065,7.926265548455205,0.2210690598942535,7.925820572463065,0.22,0.014739218634270659,21.03753103103382
b'VFID0696',6.470601408071177,0.02171472409516259,6.472101691615694,8.330601408071177,0.2210690598942535,8.332101691615694,0.22,0.44791641762155904,3.6642764027106107
b'VFID0711',,,,,,,0.22,,
b'VFID0712',,,,,,,0.22,,
b'VFID0757',6.750669966720396,0.04296227887985496,6.759104235089451,8.610669966720396,0.22415565441574395,8.61910423508945,0.22,0.09833642557650184,12.441293792092544
b'VFID0948',5.78481274700659,0.11122164650206796,5.743685386005639,7.644812747006591,0.2465162360791495,7.6036853860056395,0.22,0.13900713706417142,2.8358764208248086
b'VFID0956',6.258252064749572,0.13479312545456534,6.251821851718478,8.118252064749571,0.2580100514898793,8.111821851718478,0.22,0.06428128927866877,11.25111207404374
b'VFID0960',6.283204206807419,0.03994467707664085,6.2902080650278,8.143204206807418,0.22359690790965137,8.1502080650278,0.22,0.49753500853914034,10.727881222355041
b'VFID0976',6.678863226502548,0.0639626763117555,6.678167764175839,8.538863226502547,0.22910963306016272,8.538167764175839,0.22,0.0004593250936526031,10.605461091534295
b'VFID1035',7.013434353868658,0.05190752829123141,7.0220085509994385,8.873434353868658,0.2260406854822932,8.882008550999439,0.22,1.317283500304563,5.149827061423258
b'VFID1037',6.048566800397503,0.02171472409516259,6.048423184843161,7.908566800397503,0.2210690598942535,7.908423184843161,0.22,0.27972112515539577,5.099877269273202
b'VFID1040',6.735498359427399,0.02171472409516259,6.727695861921769,8.595498359427399,0.2210690598942535,8.58769586192177,0.22,0.1467019044041456,0.6962536812852652
b'VFID1046',6.71947123207617,0.2283614445180422,6.843675238268184,8.57947123207617,0.3170945432238891,8.703675238268184,0.22,0.03248936506390209,34.49647393850709
b'VFID1097',7.116600983532485,0.04157713390314516,7.124061855237598,8.976600983532485,0.22389430109674535,8.984061855237599,0.22,0.8344176441533429,5.100262798961783
b'VFID1098',7.356146307488456,0.04764760590108574,7.359340898063602,9.216146307488456,0.2251006316030792,9.219340898063601,0.22,0.23020871933755402,2.392966021292834
b'VFID1173',6.561231607864329,0.08954444067246656,6.543052121812737,8.421231607864328,0.23752517099319154,8.403052121812737,0.22,0.6948236488365711,3.5638528846742736
b'VFID1175',6.8778406281928,0.09570987017138095,6.864158334567208,8.7378406281928,0.23991744256769368,8.724158334567209,0.22,0.2515201803488646,2.1397324467598824
b'VFID1182',,,,,,,0.22,,
b'VFID1211',5.1701878432595,0.021714724095162587,5.171188669336649,7.0301878432595,0.2210690598942535,7.031188669336649,0.22,0.0829772199417253,40.78907070801206
b'VFID1212',7.720425429873848,0.07481946567549459,7.741655028078837,9.580425429873848,0.2323745950915601,9.601655028078836,0.22,0.9456489139364538,5.416438985639134
b'VFID1291',7.191686775053558,0.02171472409516259,7.196812280136449,9.051686775053557,0.2210690598942535,9.056812280136448,0.22,1.3987324538953108,2.4051530496827547
b'VFID1292',,,,,,,0.22,,
b'VFID1350',6.575207992959807,0.03375004135762648,6.5738745313400235,8.435207992959807,0.2225737300124197,8.433874531340024,0.22,0.16805426745503912,2.063876576040802
b'VFID1374',7.252444335817067,0.22439549438581988,7.2162138605178905,9.112444335817067,0.3142504381868966,9.07621386051789,0.22,1.057373089786903,2.100076405936071
b'VFID1609',6.054130286434841,0.02171472409516259,6.053769385149747,7.914130286434841,0.2210690598942535,7.913769385149747,0.22,0.014104489089750946,5.400547368735248
b'VFID1643',7.5481863810067775,0.02171472409516259,7.554529008704746,9.408186381006777,0.2210690598942535,9.414529008704745,0.22,0.37386179436297606,3.646395859855554
b'VFID1670',5.385512501167646,0.05396274646592988,5.38517637222261,7.245512501167647,0.22652147360933847,7.24517637222261,0.22,0.014488569679939167,11.4814493251407
b'VFID1729',5.568231438639782,0.025544099031436923,5.567920145164914,7.4282314386397825,0.22147799212411118,7.427920145164914,0.22,0.013795681040466258,4.895368719083013
b'VFID1754',7.452268898261922,0.0449974068081031,7.392257728885138,9.312268898261921,0.22455459607733244,9.252257728885137,0.22,0.5616743341806827,5.530973997389071
b'VFID1776',7.647702068950123,0.10762172408270823,7.704049125345027,9.507702068950122,0.24491311825734158,9.564049125345027,0.22,1.812643200028555,6.402336916135349
b'VFID1783',5.6764229955482595,0.02171472409516259,5.6764069009129265,7.53642299554826,0.2210690598942535,7.536406900912927,0.22,0.008788465211193575,20.918928816129554
b'VFID1803',6.840379443852164,0.02171472409516259,6.838802647939393,8.700379443852164,0.2210690598942535,8.698802647939393,0.22,0.07442782484653934,3.0118553150605436
b'VFID1804',6.336686326839267,0.02171472409516259,6.336175439993009,8.196686326839266,0.2210690598942535,8.19617543999301,0.22,0.03916162852956062,9.451255810015159
b'VFID1928',7.7843246136532676,0.11218678886010415,7.835548085870707,9.644324613653268,0.2469531850265179,9.695548085870707,0.22,1.025290781054921,6.250404296230915
b'VFID1933',7.208589803018465,0.021714724095162594,7.20935747293618,9.068589803018465,0.2210690598942535,9.06935747293618,0.22,1.1651438479470235,6.310633323580054
b'VFID1934',6.570749238794053,0.03549729531095118,6.574297784799407,8.430749238794053,0.2228453678549161,8.434297784799407,0.22,0.12640869659056078,3.3642580908107367
b'VFID1953',7.8223150513829065,0.02171472409516259,7.828117618816128,9.682315051382906,0.2210690598942535,9.688117618816127,0.22,0.2051464275685437,4.4398533510902904
b'VFID1999',6.315006418545692,0.02171472409516259,6.316634291123163,8.175006418545692,0.2210690598942535,8.176634291123163,0.22,0.020923992482016637,5.209984175916812
b'VFID2068',5.3096253537943525,0.02171472409516259,5.310993651775459,7.169625353794353,0.2210690598942535,7.1709936517754596,0.22,0.0005889097022457248,24.80734742172731
b'VFID2143',-120.78811846404096,1.3660802047804296e+61,-inf,-118.92811846404096,1.3660802047804296e+61,-inf,0.22,0.004502775586280902,31.025502893041793
b'VFID2157',5.899545502438138,0.28814006934832875,6.178017574532989,7.759545502438138,0.3625254467814083,8.038017574532988,0.22,0.024988127360449218,5.428153692228912
b'VFID2254',6.954773593093449,0.10199943970673521,6.987814576842554,8.814773593093449,0.24249512510664603,8.847814576842554,0.22,0.4829858696011126,5.342997933839637
b'VFID2313',7.4682810625841345,0.06021798936106649,7.460845568581453,9.328281062584134,0.22809253877031907,9.320845568581452,0.22,2.0352334101228973,1.7784813186234898
b'VFID2324',7.154540604784856,0.02171472409516259,7.141926466899916,9.014540604784855,0.2210690598942535,9.001926466899915,0.22,0.5895436611656218,2.3517105482752108
b'VFID2372',7.00941561356757,0.0708756568560135,6.995065967575726,8.86941561356757,0.23113493620560993,8.855065967575726,0.22,1.7266022599690785,1.9948983046718969
b'VFID2387',6.633294943434487,0.11941107133639862,6.709971685339609,8.493294943434487,0.2503178059142147,8.56997168533961,0.22,0.8158184974298894,2.1848862505440314
b'VFID2498',5.9473297354563375,0.05702275722251211,5.9461014091132345,7.807329735456338,0.22726987226919795,7.806101409113235,0.22,0.25060104197504063,5.134406465834075
b'VFID2535',5.21048298837365,0.021714724095162594,5.211711024602921,7.070482988373651,0.2210690598942535,7.071711024602921,0.22,0.05017693341120593,16.006347209052574
b'VFID2544',6.646451457528102,0.06630458055252077,6.64070127570958,8.506451457528103,0.22977444897604632,8.500701275709579,0.22,0.41745176578369353,3.4689610265641053
b'VFID2620',6.20910192803445,0.02171472409516259,6.2105076130222345,8.06910192803445,0.2210690598942535,8.070507613022235,0.22,0.0947263267403708,18.853742330514063
b'VFID2665',6.754104727927813,0.021714724095162594,6.754365516516444,8.614104727927813,0.2210690598942535,8.614365516516443,0.22,1.23495954337807,2.351659521429215
b'VFID2667',6.907411728710998,0.26432118936916493,6.848636529986476,8.767411728710998,0.3438977917194729,8.708636529986476,0.22,1.4886204898549575,3.728836229105704
b'VFID2670',7.164210858456097,0.05070222584538317,7.1617774644418395,9.024210858456097,0.225766949985325,9.02177746444184,0.22,0.9870479606159174,15.695932314159775
b'VFID2677',7.2941179771193045,0.02171472409516259,7.293291974477671,9.154117977119304,0.2210690598942535,9.153291974477671,0.22,1.104633350510706,1.5658038710418323
b'VFID2723',6.880306131261262,0.07997205415321139,6.862778790731948,8.740306131261262,0.23408444938842943,8.722778790731947,0.22,3.320611499974358,3.823541390895168
b'VFID2727',7.2292324935942816,0.02171472409516259,7.22883750569344,9.089232493594281,0.2210690598942535,9.08883750569344,0.22,0.5098877680400131,2.5471012909048754
b'VFID2760',7.515531695721462,0.02171472409516259,7.521690880281501,9.375531695721461,0.2210690598942535,9.3816908802815,0.22,0.6492310161774699,10.020748530265212
b'VFID2764',7.103513243169999,0.14727730477559606,6.960819109224005,8.963513243169999,0.2647463021497445,8.820819109224004,0.22,0.43523766418870324,3.7895896909086892
b'VFID2795',6.646808493531072,0.0746961529945589,6.692330664351373,8.506808493531071,0.23233492047513338,8.552330664351373,0.22,0.026752361337271355,7.896538321495626
b'VFID2881',6.173687648990225,0.02171472409516259,6.172569989303968,8.033687648990226,0.2210690598942535,8.032569989303967,0.22,0.024960919793476997,5.191519058430211
b'VFID3019',5.973067445371814,0.1560719115370057,6.042505644614782,7.833067445371815,0.2697377273775675,7.9025056446147826,0.22,0.01728728576108923,4.8577033330463415
b'VFID3026',5.253204510111519,0.03516948223381187,5.256353656486539,7.113204510111519,0.22279338518141512,7.116353656486539,0.22,0.006759792201264776,2.290068705516295
b'VFID3084',6.34435389632824,0.021714724095162587,6.335216053615721,8.20435389632824,0.2210690598942535,8.19521605361572,0.22,0.43772785995579366,3.1969650661507254
b'VFID3105',5.57852837542819,0.3054433145254597,5.516920467309663,7.438528375428191,0.37642478450322436,7.376920467309663,0.22,0.0005291868352287009,8.286166084069942
b'VFID3156',6.575580981025672,0.12301771633723267,6.694744563699536,8.435580981025671,0.25205824432624263,8.554744563699536,0.22,0.45852326219297573,4.157696596973282
b'VFID3174',6.4636167474950765,0.11237711467701064,6.531751123510759,8.323616747495077,0.24703970511464346,8.391751123510758,0.22,0.43527014432365674,2.7540786232286196
b'VFID3221',5.2153097518595715,0.02171472409516259,5.220135023246387,7.075309751859572,0.2210690598942535,7.080135023246387,0.22,0.0499155045522896,0.7451413859175722
b'VFID3253',6.220941433369903,0.02171472409516259,6.221150400911369,8.080941433369903,0.2210690598942535,8.081150400911369,0.22,0.043581386982014185,2.0940801207068107
b'VFID3300',5.8406628359535215,0.02171472409516259,5.842263554437021,7.700662835953522,0.2210690598942535,7.702263554437021,0.22,0.13843925418857944,8.207295091019633
b'VFID3459',7.081374840863594,0.021714724095162587,7.061245355999569,8.941374840863594,0.2210690598942535,8.921245355999568,0.22,0.9874697160333006,2.3790138512531267
b'VFID3502',6.385978007579253,0.03671548300362272,6.375608279870907,8.245978007579254,0.22304265666501846,8.235608279870906,0.22,0.056467533921729374,3.0707463712270378
b'VFID3564',7.274279651678869,0.021714724095162587,7.273940530845242,9.134279651678868,0.2210690598942535,9.133940530845242,0.22,0.078596865052874,1.323243879211163
b'VFID3654',5.518351967838037,0.13253548367152887,5.45446740941365,7.378351967838038,0.2568377979037472,7.31446740941365,0.22,0.07103930997397859,6.348426386979127
b'VFID3757',5.609022721155318,0.045667167721409885,5.618875707423106,7.469022721155318,0.22468976435898316,7.478875707423106,0.22,0.05270890577008702,7.282373323353864
b'VFID3822',7.036876534740191,0.02490699301992114,7.044034653223143,8.89687653474019,0.2214054161516705,8.904034653223142,0.22,0.12654736945723127,2.251218328600664
b'VFID3884',7.051540391477557,0.1013681503506303,7.032724797246968,8.911540391477557,0.2422302662870765,8.892724797246968,0.22,2.8179571586820966,3.9161996546191205
b'VFID3891',6.642445080891752,0.021714724095162594,6.641788588921398,8.502445080891752,0.2210690598942535,8.501788588921398,0.22,0.5055763788236513,1.3387174555283516
b'VFID3958',7.02674845421472,0.07854855834707991,7.025829816488122,8.88674845421472,0.23360196064760375,8.885829816488123,0.22,1.339235265124752,2.8052607814542667
b'VFID3961',6.426192344308839,0.1419524224626555,6.4866594034774625,8.286192344308839,0.2618214854495639,8.346659403477462,0.22,0.02721889753784478,3.9184411878234906
b'VFID3966',6.485205919464035,0.060955716890173414,6.470470884660021,8.345205919464036,0.22828841280624598,8.330470884660022,0.22,0.14002208088433568,4.076933861170374
b'VFID3979',7.140547767233754,0.02171472409516259,7.139793892063181,9.000547767233753,0.2210690598942535,8.999793892063181,0.22,0.008010085928702709,3.024984691086195
b'VFID3980',6.702695205021422,0.12319330636911133,6.792605399777898,8.562695205021422,0.2521439880983755,8.652605399777897,0.22,0.6566480408034079,5.179552674513308
b'VFID3985',6.202903566404357,0.11519308274672663,6.268705727125849,8.062903566404357,0.24833333709491,8.12870572712585,0.22,0.28384092964942603,1.8968978468012363
b'VFID3993',6.018427552781759,0.02171472409516259,6.018382399127709,7.878427552781759,0.2210690598942535,7.878382399127709,0.22,0.12936997217505927,4.401057159558269
b'VFID3994',6.842686540604754,0.02171472409516259,6.844279999818729,8.702686540604754,0.2210690598942535,8.704279999818729,0.22,0.04995461188371512,2.272271532452287
b'VFID4016',5.720284518313964,0.021714724095162587,5.716495974952317,7.580284518313964,0.2210690598942535,7.5764959749523175,0.22,0.03755539000208865,1.9650103799063683
b'VFID4029',7.314354575177088,0.12066904983057575,7.432826281087787,9.174354575177087,0.25092034510380773,9.292826281087788,0.22,0.773552457227503,2.438798209082999
b'VFID4046',6.57260297426003,0.02171472409516259,6.570748078802344,8.43260297426003,0.2210690598942535,8.430748078802344,0.22,0.6574666576980995,7.898585643078566
b'VFID4051',-49.720506926102445,2.0040529036945398e+25,-inf,-47.860506926102445,2.0040529036945398e+25,-inf,0.22,4.905028301810936e-06,51.58910380264132
b'VFID4057',7.241888081601542,0.25435465998582285,7.190718753884571,9.101888081601542,0.3362979230630239,9.05071875388457,0.22,1.368427214362339,1.4443933243024965
b'VFID4092',4.26612515550293,0.06311443315040566,4.257438673251962,6.126125155502931,0.2288742704453627,6.1174386732519626,0.22,0.004057773562199349,2.3021298303469697
b'VFID4115',6.661447036346116,0.05488167898860341,6.665662754080374,8.521447036346116,0.22674214140430118,8.525662754080374,0.22,0.019762190624498046,2.5531399432795263
b'VFID4119',7.941886205192828,0.1450979577951647,8.008582056621021,9.801886205192828,0.26354016270073033,9.86858205662102,0.22,1.9145362416044924,6.543713661079428
b'VFID4135',6.873587862103691,0.02171472409516259,6.867504860876108,8.733587862103692,0.2210690598942535,8.727504860876108,0.22,0.14987015497682715,1.6053217297834237
b'VFID4143',6.415516276947388,0.03894132186337532,6.420183673932611,8.275516276947387,0.223419843676579,8.28018367393261,0.22,0.044351209839045516,4.232939899743613
b'VFID4164',6.27599187577824,0.13941848461718248,6.322347356204303,8.13599187577824,0.26045635690639524,8.182347356204303,0.22,0.02134353405887243,3.3879149886268656
b'VFID4165',7.4931619736468535,0.021714724095162594,7.498066878554746,9.353161973646854,0.2210690598942535,9.358066878554746,0.22,0.8440576783512573,0.7905954743362575
b'VFID4168',7.442997583301806,0.021714724095162587,7.4425871458127055,9.302997583301806,0.2210690598942535,9.302587145812705,0.22,0.11743222871362397,2.838713673884956
b'VFID4170',6.667426457916352,0.02171472409516259,6.6681085204857915,8.527426457916352,0.2210690598942535,8.528108520485791,0.22,0.049559771917910396,3.147223621072914
b'VFID4177',6.741258029530476,0.06969615427200085,6.736987988520208,8.601258029530475,0.23077598211318814,8.596987988520208,0.22,0.7166040346942179,4.955642049183694
b'VFID4179',6.970637042611237,0.08169404835671515,6.965611462754248,8.830637042611237,0.23467832779553657,8.825611462754248,0.22,0.23862776527332796,5.314810764941811
b'VFID4183',6.685464899023141,0.04221199197877512,6.667994990675597,8.545464899023141,0.2240130627146912,8.527994990675596,0.22,0.0010126710245085477,6.191862083606713
b'VFID4188',5.850713975081089,0.10848621914188784,5.8057608043203555,7.710713975081089,0.24529423096294317,7.665760804320356,0.22,0.049401606667482986,4.809174459965272
b'VFID4194',6.66957981186257,0.02171472409516259,6.668889952632623,8.52957981186257,0.2210690598942535,8.528889952632623,0.22,0.004250392831727838,42.37227485832625
b'VFID4203',6.789230800399305,0.02171472409516259,6.789481442110542,8.649230800399305,0.2210690598942535,8.649481442110542,0.22,0.002310985215819406,3.3402427891802824
