Galaxy,Dist,n_Dist,log(D25),e_log(D25),COtrans,l_SCOD,SCOD,e_SCOD,fap,FWHM,e_FWHM,l_log(L'CO),log(L'CO),E_log(L'CO),e_log(L'CO),n_log(L'CO),l_r21,r21,e_r21,l_log(MH2),log(MH2),E_log(MH2),e_log(MH2)
IC2256,35.33,a,0.90,0.06,1-->0,<,10.02,0.00,0.71,0,0,<,7.63,0.00,0.00,,,0.00,0.00,<,7.86,0.00,0.00
IC2256,35.33,a,0.90,0.06,2-->1,<,7.80,0.00,0.44,0,0,<,7.13,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
UGC04375,40.34,a,1.23,0.04,1-->0,,14.79,1.86,0.38,0,0,,8.19,0.05,0.06,,,0.00,0.07,,8.83,0.05,0.06
UGC04375,40.34,a,1.23,0.04,2-->1,,7.49,1.64,0.16,0,0,,7.67,0.09,0.11,,,0.00,0.00,,0.00,0.00,0.00
IC2361,30.33,,1.19,0.04,1-->0,,11.51,1.92,0.53,0,0,,7.69,0.07,0.08,,,0.00,0.13,,8.32,0.07,0.08
IC2361,30.33,,1.19,0.04,2-->1,,17.65,1.79,0.30,0,0,,7.51,0.04,0.05,,,0.00,0.00,,0.00,0.00,0.00
UGC04395,38.17,a,1.00,0.05,1-->0,<,4.30,0.00,0.69,0,0,<,7.35,0.00,0.00,,,0.00,0.00,<,7.78,0.00,0.00
UGC04395,38.17,a,1.00,0.05,2-->1,<,5.56,0.00,0.44,0,0,<,7.05,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
PGC023706,32.60,,0.69,0.13,1-->0,<,2.86,0.00,0.83,0,0,<,6.95,0.00,0.00,,,0.00,0.00,<,7.03,0.00,0.00
PGC023706,32.60,,0.69,0.13,2-->1,<,1.85,0.00,0.60,0,0,<,6.30,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC2604,30.69,,1.17,0.05,1-->0,,5.73,0.90,0.36,0,0,,7.56,0.06,0.07,,,0.00,0.17,,8.20,0.06,0.07
NGC2604,30.69,,1.17,0.05,2-->1,,7.72,1.13,0.15,0,0,,7.47,0.06,0.07,,,0.00,0.00,,0.00,0.00,0.00
PGC024012,32.82,,0.93,0.06,1-->0,<,7.16,0.00,0.68,0,0,<,7.45,0.00,0.00,,,0.00,0.00,<,7.82,0.00,0.00
PGC024012,32.82,,0.93,0.06,2-->1,<,7.41,0.00,0.40,0,0,<,7.09,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC2608,23.27,a,1.29,0.03,1-->0,,46.85,1.76,0.37,0,0,,8.22,0.02,0.02,,,0.00,0.02,,8.85,0.02,0.02
NGC2608,23.27,a,1.29,0.03,2-->1,,25.44,1.76,0.16,0,0,,7.71,0.03,0.03,,,0.00,0.00,,0.00,0.00,0.00
UGC04559,41.08,a,1.57,0.03,1-->0,,15.46,2.60,0.29,0,0,,8.35,0.07,0.08,,,0.00,0.08,,8.98,0.07,0.08
UGC04559,41.08,a,1.57,0.03,2-->1,,11.83,1.87,0.15,0,0,,7.90,0.06,0.07,,,0.00,0.00,,0.00,0.00,0.00
PGC1925809,30.48,,0.73,0.07,1-->0,<,4.30,0.00,0.83,0,0,<,7.07,0.00,0.00,,,0.00,0.00,<,7.46,0.00,0.00
PGC1925809,30.48,,0.73,0.07,2-->1,<,5.56,0.00,0.60,0,0,<,6.72,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
UGC04659,36.62,a,1.15,0.04,1-->0,<,4.30,0.00,0.58,0,0,<,7.39,0.00,0.00,,,0.00,0.00,<,7.66,0.00,0.00
UGC04659,36.62,a,1.15,0.04,2-->1,<,3.71,0.00,0.36,0,0,<,6.93,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
PGC025063,30.43,,0.75,0.23,1-->0,,21.86,3.19,0.79,0,0,,7.80,0.06,0.07,,,0.00,0.11,,8.43,0.06,0.07
PGC025063,30.43,,0.75,0.23,2-->1,,37.42,2.92,0.53,0,0,,7.60,0.03,0.04,,,0.00,0.00,,0.00,0.00,0.00
NGC2712,31.02,a,1.47,0.03,1-->0,,48.14,1.79,0.22,0,0,,8.71,0.02,0.02,,,0.00,0.04,,9.34,0.02,0.02
NGC2712,31.02,a,1.47,0.03,2-->1,,63.01,1.72,0.08,0,0,,8.65,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
PGC025273,28.60,,0.89,0.06,1-->0,<,2.86,0.00,0.76,0,0,<,6.88,0.00,0.00,,,0.00,0.00,<,7.28,0.00,0.00
PGC025273,28.60,,0.89,0.06,2-->1,<,3.71,0.00,0.52,0,0,<,6.55,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC2780,52.55,a,1.02,0.05,1-->0,,21.87,2.14,0.55,0,0,,8.43,0.04,0.04,,,0.00,0.05,,9.06,0.04,0.04
NGC2780,52.55,a,1.02,0.05,2-->1,,15.15,1.88,0.28,0,0,,7.96,0.05,0.06,,,0.00,0.00,,0.00,0.00,0.00
NGC2793,26.65,a,1.05,0.05,1-->0,,6.87,1.30,0.50,0,0,,7.37,0.08,0.09,,,0.00,0.09,,8.01,0.08,0.09
NGC2793,26.65,a,1.05,0.05,2-->1,,2.89,1.09,0.24,0,0,,6.71,0.14,0.21,b,,0.00,0.00,,0.00,0.00,0.00
UGC04902,25.14,,1.13,0.04,1-->0,,10.37,1.09,0.54,0,0,,7.47,0.04,0.05,,,0.00,0.13,,8.11,0.04,0.05
UGC04902,25.14,,1.13,0.04,2-->1,,21.18,1.67,0.28,0,0,,7.46,0.03,0.04,,,0.00,0.00,,0.00,0.00,0.00
NGC2798,23.43,a,1.39,0.05,1-->0,,223.19,2.00,0.40,0,0,,8.88,0.01,0.01,,,0.00,0.01,,9.51,0.01,0.01
NGC2798,23.43,a,1.39,0.05,2-->1,,474.19,1.79,0.21,0,0,,8.88,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
NGC2799,27.78,a,1.25,0.05,1-->0,,5.91,1.24,0.51,0,0,,7.34,0.08,0.10,,,0.00,0.13,,7.98,0.08,0.10
NGC2799,27.78,a,1.25,0.05,2-->1,,7.74,0.80,0.30,0,0,,7.09,0.04,0.05,,,0.00,0.00,,0.00,0.00,0.00
NGC2844,42.14,a,1.25,0.06,1-->0,,30.50,2.72,0.44,0,0,,8.48,0.04,0.04,,,0.00,0.08,,9.11,0.04,0.04
NGC2844,42.14,a,1.25,0.06,2-->1,,42.74,2.35,0.21,0,0,,8.34,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
NGC2853,28.55,a,1.22,0.06,1-->0,,12.33,1.87,0.43,0,0,,7.76,0.06,0.07,,,0.00,0.11,,8.39,0.06,0.07
NGC2853,28.55,a,1.22,0.06,2-->1,,11.65,1.73,0.20,0,0,,7.47,0.06,0.07,,,0.00,0.00,,0.00,0.00,0.00
UGC05015,25.79,,1.21,0.06,1-->0,<,4.30,0.00,0.33,0,0,<,7.33,0.00,0.00,,,0.00,0.00,<,7.96,0.00,0.00
UGC05015,25.79,,1.21,0.06,2-->1,<,7.41,0.00,0.13,0,0,<,7.36,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
UGC05020,32.36,a,1.31,0.03,1-->0,<,2.76,0.00,0.43,0,0,<,7.22,0.00,0.00,,,0.00,0.00,,7.54,0.14,0.21
UGC05020,32.36,a,1.31,0.03,2-->1,,2.24,0.87,0.22,0,0,,6.81,0.14,0.21,b,,0.00,0.00,,0.00,0.00,0.00
NGC2893,27.14,a,1.01,0.04,1-->0,,36.74,1.13,0.55,0,0,,8.08,0.01,0.01,,,0.00,0.03,,8.72,0.01,0.01
NGC2893,27.14,a,1.01,0.04,2-->1,,63.60,1.35,0.28,0,0,,8.02,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
NGC2968,13.74,a,1.39,0.03,1-->0,<,4.30,0.00,0.25,0,0,<,6.90,0.00,0.00,,,0.00,0.00,<,7.39,0.00,0.00
NGC2968,13.74,a,1.39,0.03,2-->1,<,3.71,0.00,0.09,0,0,<,6.66,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC2970,27.02,a,0.93,0.06,1-->0,<,5.73,0.00,0.62,0,0,<,7.22,0.00,0.00,,,0.00,0.00,<,7.60,0.00,0.00
NGC2970,27.02,a,0.93,0.06,2-->1,<,5.56,0.00,0.34,0,0,<,6.87,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
PGC028169,24.76,a,0.83,0.06,1-->0,,3.83,0.89,0.72,0,0,,6.90,0.09,0.12,,<,0.00,0.00,,7.54,0.09,0.12
PGC028169,24.76,a,0.83,0.06,2-->1,<,3.89,0.00,0.44,0,0,<,6.52,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC3003,20.78,a,1.68,0.02,1-->0,,25.51,1.57,0.23,0,0,,8.08,0.03,0.03,,,0.00,0.04,,8.71,0.03,0.03
NGC3003,20.78,a,1.68,0.02,2-->1,,26.94,1.46,0.11,0,0,,7.81,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
NGC3026,24.59,a,1.35,0.03,1-->0,,4.65,0.96,0.43,0,0,,7.20,0.08,0.10,,<,0.00,0.00,,7.84,0.08,0.10
NGC3026,24.59,a,1.35,0.03,2-->1,<,3.89,0.00,0.25,0,0,<,6.77,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC3021,26.47,a,1.13,0.07,1-->0,,83.64,2.50,0.48,0,0,,8.47,0.01,0.01,,,0.00,0.02,,9.11,0.01,0.01
NGC3021,26.47,a,1.13,0.07,2-->1,,80.15,2.25,0.23,0,0,,8.18,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
UGC05287,31.93,a,0.98,0.06,1-->0,<,4.30,0.00,0.58,0,0,<,7.27,0.00,0.00,,,0.00,0.00,<,7.62,0.00,0.00
UGC05287,31.93,a,0.98,0.06,2-->1,<,3.71,0.00,0.30,0,0,<,6.89,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
UGC05326,22.96,,0.97,0.05,1-->0,<,2.86,0.00,0.55,0,0,<,6.83,0.00,0.00,,,0.00,0.00,<,7.37,0.00,0.00
UGC05326,22.96,,0.97,0.05,2-->1,<,3.71,0.00,0.27,0,0,<,6.64,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC3067,19.58,a,1.31,0.02,1-->0,,100.21,1.95,0.44,0,0,,8.33,0.01,0.01,,,0.00,0.01,,8.97,0.01,0.01
NGC3067,19.58,a,1.31,0.02,2-->1,,104.32,1.79,0.23,0,0,,8.03,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
PGC029347,23.97,a,0.82,0.06,1-->0,,2.06,0.55,0.69,0,0,,6.62,0.10,0.13,,,0.00,0.20,,7.25,0.10,0.13
PGC029347,23.97,a,0.82,0.06,2-->1,,2.52,0.70,0.41,0,0,,6.33,0.11,0.14,,,0.00,0.00,,0.00,0.00,0.00
NGC3118,26.84,a,1.32,0.03,1-->0,,3.03,0.89,0.45,0,0,,7.07,0.11,0.15,,,0.00,0.19,,7.70,0.11,0.15
NGC3118,26.84,a,1.32,0.03,2-->1,,3.45,0.89,0.26,0,0,,6.77,0.10,0.13,,,0.00,0.00,,0.00,0.00,0.00
UGC05577,31.04,,0.97,0.04,1-->0,,4.03,0.66,0.61,0,0,,7.19,0.07,0.08,,,0.00,0.13,,7.83,0.07,0.08
UGC05577,31.04,,0.97,0.04,2-->1,,5.82,0.57,0.33,0,0,,7.01,0.04,0.04,,,0.00,0.00,,0.00,0.00,0.00
UGC05588,24.53,a,0.74,0.14,1-->0,,23.98,1.68,0.79,0,0,,7.65,0.03,0.03,,,0.00,0.04,,8.28,0.03,0.03
UGC05588,24.53,a,0.74,0.14,2-->1,,34.94,1.57,0.54,0,0,,7.38,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
NGC3245A,23.86,a,1.37,0.04,1-->0,<,7.16,0.00,0.42,0,0,<,7.38,0.00,0.00,,,0.00,0.00,<,7.77,0.00,0.00
NGC3245A,23.86,a,1.37,0.04,2-->1,<,7.41,0.00,0.24,0,0,<,7.04,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC3254,34.33,a,1.37,0.03,1-->0,,4.67,1.51,0.31,0,0,,7.64,0.12,0.17,,,0.00,0.25,,8.27,0.12,0.17
NGC3254,34.33,a,1.37,0.03,2-->1,,3.63,1.48,0.13,0,0,,7.32,0.15,0.23,b,,0.00,0.00,,0.00,0.00,0.00
PGC031357,27.23,,0.88,0.06,1-->0,<,5.73,0.00,0.75,0,0,<,7.14,0.00,0.00,,,0.00,0.00,<,7.57,0.00,0.00
PGC031357,27.23,,0.88,0.06,2-->1,<,7.41,0.00,0.49,0,0,<,6.84,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
PGC031387,22.94,,0.76,0.08,1-->0,,3.09,1.46,0.77,0,0,,6.71,0.17,0.28,b,,0.00,0.19,,6.97,0.12,0.16
PGC031387,22.94,,0.76,0.08,2-->1,,2.67,0.84,0.50,0,0,,6.23,0.12,0.16,,,0.00,0.00,,0.00,0.00,0.00
UGC05870,31.44,,1.04,0.08,1-->0,,4.28,0.99,0.48,0,0,,7.33,0.09,0.11,,,0.00,0.16,,7.96,0.09,0.11
UGC05870,31.44,,1.04,0.08,2-->1,,4.07,0.88,0.23,0,0,,7.03,0.09,0.11,,,0.00,0.00,,0.00,0.00,0.00
NGC3381,26.46,,1.30,0.05,1-->0,,12.49,0.87,0.26,0,0,,7.92,0.03,0.03,,,0.00,0.08,,8.56,0.03,0.03
NGC3381,26.46,,1.30,0.05,2-->1,,18.14,0.83,0.10,0,0,,7.91,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
UGC05990,31.73,a,1.11,0.04,1-->0,,2.48,0.76,0.61,0,0,,7.00,0.12,0.16,,<,0.00,0.00,,7.63,0.12,0.16
UGC05990,31.73,a,1.11,0.04,2-->1,<,4.26,0.00,0.38,0,0,<,6.83,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC3442,30.93,a,0.74,0.05,1-->0,,23.58,0.98,0.81,0,0,,7.83,0.02,0.02,,,0.00,0.03,,8.47,0.02,0.02
NGC3442,30.93,a,0.74,0.05,2-->1,,30.04,1.21,0.56,0,0,,7.50,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
UGC06070,29.32,,0.74,0.14,1-->0,,3.84,0.98,0.78,0,0,,7.02,0.10,0.13,,,0.00,0.18,,7.65,0.10,0.13
UGC06070,29.32,,0.74,0.14,2-->1,,5.22,1.19,0.51,0,0,,6.73,0.09,0.11,,,0.00,0.00,,0.00,0.00,0.00
NGC3629,33.86,a,1.25,0.03,1-->0,<,5.73,0.00,0.36,0,0,<,7.65,0.00,0.00,,,0.00,0.00,<,8.14,0.00,0.00
NGC3629,33.86,a,1.25,0.03,2-->1,<,5.56,0.00,0.15,0,0,<,7.41,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
UGC06455,31.81,,1.19,0.04,1-->0,<,2.86,0.00,0.49,0,0,<,7.16,0.00,0.00,,,0.00,0.00,<,7.79,0.00,0.00
UGC06455,31.81,,1.19,0.04,2-->1,<,7.41,0.00,0.25,0,0,<,7.27,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC3687,26.27,a,1.15,0.03,1-->0,,10.86,1.45,0.55,0,0,,7.53,0.05,0.06,,,0.00,0.07,,8.16,0.05,0.06
NGC3687,26.27,a,1.15,0.03,2-->1,,8.63,1.18,0.30,0,0,,7.09,0.06,0.06,,,0.00,0.00,,0.00,0.00,0.00
NGC3689,41.66,a,1.17,0.06,1-->0,,109.55,2.80,0.43,0,0,,9.04,0.01,0.01,,,0.00,0.02,,9.67,0.01,0.01
NGC3689,41.66,a,1.17,0.06,2-->1,,104.16,2.71,0.19,0,0,,8.76,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
PGC035472,30.56,,0.91,0.06,1-->0,<,4.30,0.00,0.76,0,0,<,7.11,0.00,0.00,,,0.00,0.00,,7.54,0.14,0.21
PGC035472,30.56,,0.91,0.06,2-->1,,6.01,2.28,0.53,0,0,,6.81,0.14,0.21,b,,0.00,0.00,,0.00,0.00,0.00
PGC035503,29.99,,0.98,0.05,1-->0,,2.11,0.54,0.67,0,0,,6.84,0.10,0.13,,<,0.00,0.00,,7.47,0.10,0.13
PGC035503,29.99,,0.98,0.05,2-->1,<,2.00,0.00,0.41,0,0,<,6.43,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
PGC035508,31.07,,0.64,0.31,1-->0,,1.93,0.52,0.84,0,0,,6.73,0.10,0.14,,,0.00,0.24,,7.37,0.10,0.14
PGC035508,31.07,,0.64,0.31,2-->1,,3.45,0.99,0.61,0,0,,6.52,0.11,0.15,,,0.00,0.00,,0.00,0.00,0.00
UGC06517,37.58,,1.20,0.07,1-->0,,10.84,1.75,0.42,0,0,,7.95,0.06,0.08,,,0.00,0.09,,8.58,0.06,0.08
UGC06517,37.58,,1.20,0.07,2-->1,,4.50,1.71,0.19,0,0,,7.31,0.14,0.21,b,,0.00,0.00,,0.00,0.00,0.00
UGC06526,18.14,a,1.21,0.06,1-->0,,10.65,2.13,0.52,0,0,,7.21,0.08,0.10,,,0.00,0.14,,7.85,0.08,0.10
UGC06526,18.14,a,1.21,0.06,2-->1,,14.68,1.88,0.30,0,0,,6.99,0.05,0.06,,,0.00,0.00,,0.00,0.00,0.00
PGC035688,38.52,,0.99,0.18,1-->0,,6.79,1.40,0.68,0,0,,7.56,0.08,0.10,,,0.00,0.10,,8.19,0.08,0.10
PGC035688,38.52,,0.99,0.18,2-->1,,4.45,1.49,0.43,0,0,,6.97,0.13,0.18,b,,0.00,0.00,,0.00,0.00,0.00
UGC06545,39.05,,1.02,0.08,1-->0,,16.73,2.15,0.66,0,0,,7.98,0.05,0.06,,,0.00,0.08,,8.61,0.05,0.06
UGC06545,39.05,,1.02,0.08,2-->1,,19.66,2.25,0.40,0,0,,7.66,0.05,0.05,,,0.00,0.00,,0.00,0.00,0.00
UGC06610,33.55,a,1.29,0.03,1-->0,<,5.73,0.00,0.45,0,0,<,7.55,0.00,0.00,,,0.00,0.00,<,8.16,0.00,0.00
UGC06610,33.55,a,1.29,0.03,2-->1,<,9.26,0.00,0.23,0,0,<,7.43,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC3786,44.85,a,1.29,0.03,1-->0,,57.33,2.63,0.38,0,0,,8.88,0.02,0.02,,,0.00,0.06,,9.51,0.02,0.02
NGC3786,44.85,a,1.29,0.03,2-->1,,103.15,3.77,0.17,0,0,,8.88,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
NGC3788,53.05,a,1.30,0.03,1-->0,,28.49,2.59,0.46,0,0,,8.63,0.04,0.04,,,0.00,0.06,,9.26,0.04,0.04
NGC3788,53.05,a,1.30,0.03,2-->1,,29.74,2.64,0.26,0,0,,8.29,0.04,0.04,,,0.00,0.00,,0.00,0.00,0.00
UGC06637,44.63,a,0.88,0.05,1-->0,,3.34,0.76,0.78,0,0,,7.32,0.09,0.11,,,0.00,0.11,,7.95,0.09,0.11
UGC06637,44.63,a,0.88,0.05,2-->1,,3.89,0.56,0.56,0,0,,6.93,0.06,0.07,,,0.00,0.00,,0.00,0.00,0.00
NGC3900,29.76,a,1.41,0.03,1-->0,,6.17,1.32,0.31,0,0,,7.64,0.08,0.10,,<,0.00,0.00,,8.27,0.08,0.10
NGC3900,29.76,a,1.41,0.03,2-->1,<,3.80,0.00,0.13,0,0,<,7.20,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
UGC06791,32.94,a,1.32,0.05,1-->0,,3.47,0.78,0.45,0,0,,7.31,0.09,0.11,,,0.00,0.31,,7.95,0.09,0.11
UGC06791,32.94,a,1.32,0.05,2-->1,,8.16,1.61,0.25,0,0,,7.33,0.08,0.10,,,0.00,0.00,,0.00,0.00,0.00
NGC3912,23.43,a,1.18,0.04,1-->0,,22.44,1.36,0.49,0,0,,7.79,0.03,0.03,,,0.00,0.05,,8.42,0.03,0.03
NGC3912,23.43,a,1.18,0.04,2-->1,,20.97,1.75,0.25,0,0,,7.46,0.03,0.04,,,0.00,0.00,,0.00,0.00,0.00
NGC4152,29.61,a,1.14,0.03,1-->0,,42.38,2.70,0.46,0,0,,8.30,0.03,0.03,,,0.00,0.04,,8.93,0.03,0.03
NGC4152,29.61,a,1.14,0.03,2-->1,,39.05,1.93,0.21,0,0,,7.99,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
NGC4793,28.29,a,1.26,0.04,1-->0,,125.15,2.65,0.39,0,0,,8.80,0.01,0.01,,,0.00,0.02,,9.44,0.01,0.01
NGC4793,28.29,a,1.26,0.04,2-->1,,128.96,4.30,0.17,0,0,,8.57,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
UGC08076,38.13,,0.94,0.04,1-->0,,1.28,0.27,0.64,0,0,,6.85,0.08,0.10,,<,0.00,0.00,,7.48,0.08,0.10
UGC08076,38.13,,0.94,0.04,2-->1,<,3.71,0.00,0.36,0,0,<,6.96,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC4961,39.96,a,1.05,0.05,1-->0,,11.58,1.25,0.51,0,0,,7.95,0.04,0.05,,,0.00,0.09,,8.58,0.04,0.05
NGC4961,39.96,a,1.05,0.05,2-->1,,11.13,1.51,0.25,0,0,,7.65,0.06,0.06,,,0.00,0.00,,0.00,0.00,0.00
IC0851,44.63,a,1.05,0.04,1-->0,,4.00,1.01,0.62,0,0,,7.50,0.10,0.13,,,0.00,0.17,,8.13,0.10,0.13
IC0851,44.63,a,1.05,0.04,2-->1,,4.48,1.14,0.36,0,0,,7.18,0.10,0.13,,,0.00,0.00,,0.00,0.00,0.00
NGC5012,36.96,a,1.42,0.02,1-->0,,82.85,2.18,0.25,0,0,,9.05,0.01,0.01,,,0.00,0.04,,9.68,0.01,0.01
NGC5012,36.96,a,1.42,0.02,2-->1,,100.42,4.23,0.09,0,0,,8.95,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
NGC5016,40.34,a,1.20,0.03,1-->0,,27.84,2.49,0.38,0,0,,8.46,0.04,0.04,,,0.00,0.10,,9.09,0.04,0.04
NGC5016,40.34,a,1.20,0.03,2-->1,,39.15,2.95,0.16,0,0,,8.38,0.03,0.03,,,0.00,0.00,,0.00,0.00,0.00
UGC08290,40.71,a,0.92,0.05,1-->0,,2.53,0.65,0.61,0,0,,7.23,0.10,0.13,,<,0.00,0.00,,7.86,0.10,0.13
UGC08290,40.71,a,0.92,0.05,2-->1,<,3.71,0.00,0.32,0,0,<,7.07,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
UGC08318,38.10,a,0.95,0.05,1-->0,,2.67,0.66,0.64,0,0,,7.17,0.10,0.12,,<,0.00,0.00,,7.81,0.10,0.12
UGC08318,38.10,a,0.95,0.05,2-->1,<,7.41,0.00,0.36,0,0,<,7.27,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC5116,43.62,a,1.29,0.03,1-->0,,23.10,1.42,0.42,0,0,,8.41,0.03,0.03,,,0.00,0.04,,9.04,0.03,0.03
NGC5116,43.62,a,1.29,0.03,2-->1,,21.92,1.38,0.20,0,0,,8.10,0.03,0.03,,,0.00,0.00,,0.00,0.00,0.00
NGC5117,38.70,a,1.19,0.04,1-->0,,2.91,0.55,0.46,0,0,,7.37,0.08,0.09,,,0.00,0.28,,8.00,0.08,0.09
NGC5117,38.70,a,1.19,0.04,2-->1,,4.22,1.30,0.22,0,0,,7.25,0.12,0.16,,,0.00,0.00,,0.00,0.00,0.00
UGC08409,42.95,a,0.98,0.05,1-->0,<,1.43,0.00,0.63,0,0,<,7.01,0.00,0.00,,,0.00,0.00,,7.91,0.07,0.09
UGC08409,42.95,a,0.98,0.05,2-->1,,4.70,0.88,0.35,0,0,,7.18,0.07,0.09,,,0.00,0.00,,0.00,0.00,0.00
NGC5169,42.44,a,1.18,0.04,1-->0,,6.00,0.79,0.50,0,0,,7.72,0.05,0.06,,,0.00,0.17,,8.36,0.05,0.06
NGC5169,42.44,a,1.18,0.04,2-->1,,11.27,1.38,0.26,0,0,,7.69,0.05,0.06,,,0.00,0.00,,0.00,0.00,0.00
IC4263,41.08,a,1.23,0.04,1-->0,<,1.43,0.00,0.49,0,0,<,7.08,0.00,0.00,,,0.00,0.00,,7.60,0.15,0.23
IC4263,41.08,a,1.23,0.04,2-->1,,1.94,0.79,0.27,0,0,,6.87,0.15,0.23,b,,0.00,0.00,,0.00,0.00,0.00
PGC047274,39.33,,0.96,0.05,1-->0,,2.73,0.58,0.69,0,0,,7.17,0.08,0.10,,,0.00,0.15,,7.81,0.08,0.10
PGC047274,39.33,,0.96,0.05,2-->1,,3.35,0.73,0.43,0,0,,6.87,0.09,0.11,,,0.00,0.00,,0.00,0.00,0.00
PGC047295,40.59,,0.93,0.06,1-->0,,7.02,1.16,0.66,0,0,,7.63,0.07,0.08,,,0.00,0.14,,8.27,0.07,0.08
PGC047295,40.59,,0.93,0.06,2-->1,,10.51,1.40,0.38,0,0,,7.45,0.05,0.06,,,0.00,0.00,,0.00,0.00,0.00
UGC08630,34.66,a,1.25,0.03,1-->0,,8.53,1.89,0.48,0,0,,7.72,0.09,0.11,,,0.00,0.21,,8.35,0.09,0.11
UGC08630,34.66,a,1.25,0.03,2-->1,,9.49,3.21,0.26,0,0,,7.43,0.13,0.18,b,,0.00,0.00,,0.00,0.00,0.00
UGC08662,30.46,a,1.16,0.03,1-->0,<,8.59,0.00,0.57,0,0,<,7.53,0.00,0.00,,,0.00,0.00,<,7.51,0.00,0.00
UGC08662,30.46,a,1.16,0.03,2-->1,<,3.71,0.00,0.35,0,0,<,6.78,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
UGC08693,42.82,a,1.07,0.04,1-->0,,7.11,0.84,0.57,0,0,,7.75,0.05,0.05,,,0.00,0.12,,8.38,0.05,0.05
UGC08693,42.82,a,1.07,0.04,2-->1,,7.40,1.55,0.30,0,0,,7.44,0.08,0.10,,,0.00,0.00,,0.00,0.00,0.00
NGC5289,40.24,a,1.37,0.04,1-->0,,6.42,1.27,0.41,0,0,,7.79,0.08,0.10,,,0.00,0.20,,8.43,0.08,0.10
NGC5289,40.24,a,1.37,0.04,2-->1,,8.77,2.18,0.22,0,0,,7.59,0.10,0.12,,,0.00,0.00,,0.00,0.00,0.00
NGC5290,35.62,a,1.51,0.06,1-->0,,99.00,2.25,0.29,0,0,,9.03,0.01,0.01,,,0.00,0.02,,9.66,0.01,0.01
NGC5290,35.62,a,1.51,0.06,2-->1,,126.23,3.09,0.13,0,0,,8.87,0.01,0.01,,,0.00,0.00,,0.00,0.00,0.00
NGC5297,30.46,a,1.57,0.03,1-->0,,27.59,1.75,0.26,0,0,,8.38,0.03,0.03,,,0.00,0.07,,9.02,0.03,0.03
NGC5297,30.46,a,1.57,0.03,2-->1,,28.79,2.86,0.12,0,0,,8.15,0.04,0.05,,,0.00,0.00,,0.00,0.00,0.00
UGC08733,30.88,a,1.29,0.03,1-->0,,3.56,0.68,0.37,0,0,,7.36,0.08,0.09,,,0.00,0.19,,7.99,0.08,0.09
UGC08733,30.88,a,1.29,0.03,2-->1,,3.03,1.03,0.16,0,0,,7.05,0.13,0.18,b,,0.00,0.00,,0.00,0.00,0.00
PGC049002,40.79,,0.83,0.06,1-->0,,18.26,1.69,0.72,0,0,,8.01,0.04,0.04,,,0.00,0.09,,8.65,0.04,0.04
PGC049002,40.79,,0.83,0.06,2-->1,,34.43,2.39,0.44,0,0,,7.90,0.03,0.03,,,0.00,0.00,,0.00,0.00,0.00
