Galaxy,Dist,n_Dist,log(D25),e_log(D25),COtrans,l_SCOD,SCOD,e_SCOD,fap,FWHM,e_FWHM,l_log(L'CO),log(L'CO),E_log(L'CO),e_log(L'CO),n_log(L'CO),l_r21,r21,e_r21,l_log(MH2),log(MH2),E_log(MH2),e_log(MH2)
NGC5383,36.03,a,1.39,0.03,2-->1,,114.84,4.19,0.08,0,0,,9.06,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
NGC5403,41.35,,1.44,0.03,1-->0,,70.50,3.03,0.33,0,0,,8.95,0.02,0.02,,,0.00,0.04,,9.59,0.02,0.02
NGC5403,41.35,,1.44,0.03,2-->1,,84.83,3.18,0.15,0,0,,8.77,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
PGC049824,41.14,,0.89,0.18,1-->0,,1.04,0.34,0.77,0,0,,6.75,0.12,0.17,,,0.00,0.39,,7.38,0.12,0.17
PGC049824,41.14,,0.89,0.18,2-->1,,2.54,0.79,0.55,0,0,,6.68,0.12,0.16,,,0.00,0.00,,0.00,0.00,0.00
PGC049852,39.59,,0.67,0.07,1-->0,,2.32,0.74,0.83,0,0,,7.03,0.12,0.17,,,0.00,0.25,,7.66,0.12,0.17
PGC049852,39.59,,0.67,0.07,2-->1,,3.18,1.26,0.59,0,0,,6.71,0.15,0.22,b,,0.00,0.00,,0.00,0.00,0.00
PGC049927,42.23,a,0.87,0.06,1-->0,,3.03,0.66,0.65,0,0,,7.31,0.09,0.11,,,0.00,0.20,,7.94,0.09,0.11
PGC049927,42.23,a,0.87,0.06,2-->1,,3.98,1.05,0.36,0,0,,7.08,0.10,0.13,,,0.00,0.00,,0.00,0.00,0.00
NGC5470,24.09,a,1.42,0.03,1-->0,,15.41,1.87,0.38,0,0,,7.76,0.05,0.06,,,0.00,0.06,,8.39,0.05,0.06
NGC5470,24.09,a,1.42,0.03,2-->1,,9.99,1.68,0.21,0,0,,7.22,0.07,0.08,,,0.00,0.00,,0.00,0.00,0.00
NGC5566,18.53,a,1.73,0.04,1-->0,,71.58,2.58,0.14,0,0,,8.63,0.02,0.02,,,0.00,0.03,,9.26,0.02,0.02
NGC5566,18.53,a,1.73,0.04,2-->1,,64.28,2.26,0.05,0,0,,8.43,0.02,0.02,,,0.00,0.00,,0.00,0.00,0.00
UGC09215,25.12,a,1.32,0.03,1-->0,,3.08,0.93,0.34,0,0,,7.14,0.11,0.16,,<,0.00,0.00,,7.77,0.11,0.16
UGC09215,25.12,a,1.32,0.03,2-->1,<,4.63,0.00,0.15,0,0,<,7.09,0.00,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC5636,27.04,,1.14,0.04,1-->0,,4.32,0.64,0.48,0,0,,7.21,0.06,0.07,,,0.00,0.22,,7.84,0.06,0.07
NGC5636,27.04,,1.14,0.04,2-->1,,6.50,1.50,0.23,0,0,,7.11,0.09,0.11,,,0.00,0.00,,0.00,0.00,0.00
IC1022,38.83,a,0.98,0.04,1-->0,,1.25,0.39,0.69,0,0,,6.83,0.12,0.16,,,0.00,0.56,,7.46,0.12,0.16
IC1022,38.83,a,0.98,0.04,2-->1,,4.20,1.22,0.43,0,0,,6.95,0.11,0.15,,,0.00,0.00,,0.00,0.00,0.00
NGC5661,46.91,a,1.06,0.05,1-->0,,14.90,1.49,0.57,0,0,,8.15,0.04,0.05,,,0.00,0.09,,8.78,0.04,0.05
NGC5661,46.91,a,1.06,0.05,2-->1,,25.64,1.50,0.30,0,0,,8.06,0.02,0.03,,,0.00,0.00,,0.00,0.00,0.00
NGC5658,23.42,a,1.25,0.03,1-->0,,2.04,0.80,0.50,0,0,,6.74,0.14,0.22,b,,0.00,1.17,,7.91,0.06,0.07
NGC5658,23.42,a,1.25,0.03,2-->1,,13.53,1.93,0.30,0,0,,7.18,0.06,0.07,,,0.00,0.00,,0.00,0.00,0.00
NGC5668,26.36,a,1.28,0.04,1-->0,,6.21,1.15,0.29,0,0,,7.57,0.07,0.09,,,0.00,0.14,,8.20,0.07,0.09
NGC5668,26.36,a,1.28,0.04,2-->1,,4.53,1.08,0.11,0,0,,7.24,0.09,0.12,,,0.00,0.00,,0.00,0.00,0.00
NGC5692,24.99,a,0.98,0.10,1-->0,,12.33,1.54,0.62,0,0,,7.49,0.05,0.06,,,0.00,0.13,,8.12,0.05,0.06
NGC5692,24.99,a,0.98,0.10,2-->1,,24.08,1.82,0.34,0,0,,7.43,0.03,0.00,,,0.00,0.00,,0.00,0.00,0.00
NGC5701,26.40,a,1.30,0.04,1-->0,<,5.73,0.00,0.29,0,0,<,7.53,0.00,0.00,,,0.00,0.00,<,7.89,0.00,0.00
