id,log(bayes.dust.mass),log(bayes.dust.mass_err),log(best.dust.mass),log(bayes.gas.mass),log(bayes.gas.mass_err),log(best.gas.mass),log(best.gas.mass_err),bayes.sfh.sfr,best.reduced_chi_square
VFID0018,5.955253461653158,0.10486978193887597,5.994006969318315,7.815253461653159,0.24371637442713487,7.854006969318315,0.22,0.0002593850855224,1.1991275692344208
VFID0087,6.253963547494732,0.3936332287866212,6.074676117027002,8.113963547494732,0.4509402607940219,7.934676117027002,0.22,0.044127402828155,1.0338857762450957
VFID0132,4.435691131150848,0.14160355365708877,4.328844604087606,6.295691131150848,0.261632502583903,6.188844604087606,0.22,0.0049232129215486,0.4395347447972601
VFID0187,6.313279276209983,0.32092384740443824,6.311011783697468,8.173279276209984,0.3890913977883181,8.171011783697468,0.22,0.2300414674231516,0.7196148635201423
VFID0240,6.16234696855556,0.17050117407411075,6.245263231329258,8.02234696855556,0.2783354996414403,8.105263231329259,0.22,0.0028058281226784,0.8840222354668915
VFID0488,6.70039059504658,0.17369810569193836,6.820123298517184,8.560390595046579,0.28030524775852445,8.680123298517184,0.22,0.0031540750221596,0.1644237326377682
VFID0692,6.001948542629019,0.14404427377415335,6.009772883172778,7.861948542629019,0.26296150442055816,7.869772883172779,0.22,0.0007082017528538,0.8205380609903126
VFID0696,6.887787877942929,0.09385601890147299,6.920915118197264,8.74778787794293,0.23918392981978043,8.780915118197264,0.22,0.5265277268231494,1.851975748351162
VFID0711,8.417117065599463,0.32786431844439257,8.393142085945318,10.277117065599462,0.3948354230676448,10.253142085945317,0.22,15.404532068661204,17.612909272805872
VFID0712,8.272237053627705,0.1669618086231878,8.365662951625474,10.132237053627705,0.2761815445295467,10.225662951625473,0.22,14.543911260516726,17.371385466384215
VFID0757,6.638753522194498,0.16227854232823227,6.7468312580023415,8.498753522194498,0.27337579501516934,8.606831258002341,0.22,0.2538552189288208,4.278757397767507
VFID0948,6.366799342586901,0.29351854046964687,6.033489726376833,8.2267993425869,0.36681484920792357,7.893489726376833,0.22,0.2208340089028684,0.3122917130467829
VFID0956,6.5600625864936815,0.3385187023741433,6.309535646636864,8.420062586493682,0.40372628333695815,8.169535646636865,0.22,0.0148058022309553,0.5311525461697774
VFID0960,6.431759192242957,0.33000635868904404,6.25890875242731,8.291759192242957,0.39661593106581333,8.11890875242731,0.22,0.6166036869314762,2.1630837996287156
VFID0976,6.663167733746374,0.39178274163025967,6.548091390975228,8.523167733746375,0.44932584684093435,8.408091390975228,0.22,2.19998733737789e-05,3.210475156742583
VFID1035,6.909071321187327,0.13000661075619913,6.987295749631939,8.769071321187328,0.2555420099324451,8.84729574963194,0.22,1.6594906596740973,0.4210775586055725
